months,CAGR,Vol_annual,Sharpe,MaxDD,Universe,Strategy,CEQ_g3,CEQ_g5,Avg_monthly_cost_bps
192,0.1488715640678242,0.14885076274187706,1.0118884068754859,-0.2742464651881453,A,ML_RF_longonly_costaware_5bps_grosslabels_affine,0.11738553681982106,0.09522898725098247,0.33593750322127774
192,0.05959369518560642,0.17009471695013972,0.4262583370004079,-0.35080833871116346,B,ML_RF_longonly_costaware_5bps_grosslabels_affine,0.029105972078199434,0.00017375934385129022,0.3984375077499012
192,0.09739124938304267,0.21495049369946972,0.5390609614826468,-0.48182983093512366,C,ML_RF_longonly_costaware_5bps_grosslabels_affine,0.046565847692337126,0.00036213295069137397,0.2669022847315214
192,0.14330836705122207,0.191297531067936,0.7976684276747026,-0.3157261998981177,ALL,ML_RF_longonly_costaware_5bps_grosslabels_affine,0.09769988273598117,0.06110513734329322,0.6223958330612009
