Date,Ret,Universe,Model
2015-10-31,-0.00784504865811283,ALL,RF_longonly_0bps_v1_1_1
2015-11-30,-0.02019989406148811,ALL,RF_longonly_0bps_v1_1_1
2015-12-31,-0.054119866991592255,ALL,RF_longonly_0bps_v1_1_1
2016-01-31,-0.00419302446592992,ALL,RF_longonly_0bps_v1_1_1
2016-02-29,0.06901552392389856,ALL,RF_longonly_0bps_v1_1_1
2016-03-31,0.011087080503671055,ALL,RF_longonly_0bps_v1_1_1
2016-04-30,0.0009595097485724636,ALL,RF_longonly_0bps_v1_1_1
2016-05-31,-0.009772513580465424,ALL,RF_longonly_0bps_v1_1_1
2016-06-30,0.03440197986736721,ALL,RF_longonly_0bps_v1_1_1
2016-07-31,0.00022208009042466468,ALL,RF_longonly_0bps_v1_1_1
2016-08-31,0.005852416292662482,ALL,RF_longonly_0bps_v1_1_1
2016-09-30,-0.026053421906305253,ALL,RF_longonly_0bps_v1_1_1
2016-10-31,0.006652395830618891,ALL,RF_longonly_0bps_v1_1_1
2016-11-30,0.02932155331107602,ALL,RF_longonly_0bps_v1_1_1
2016-12-31,0.019708588079109152,ALL,RF_longonly_0bps_v1_1_1
2017-01-31,0.020237260243028927,ALL,RF_longonly_0bps_v1_1_1
2017-02-28,0.017789628945858473,ALL,RF_longonly_0bps_v1_1_1
2017-03-31,0.027441577776385048,ALL,RF_longonly_0bps_v1_1_1
2017-04-30,0.03023576629190553,ALL,RF_longonly_0bps_v1_1_1
2017-05-31,0.0007829217601606486,ALL,RF_longonly_0bps_v1_1_1
2017-06-30,0.03396905182956884,ALL,RF_longonly_0bps_v1_1_1
2017-07-31,0.003860224297531284,ALL,RF_longonly_0bps_v1_1_1
2017-08-31,0.019538785946380734,ALL,RF_longonly_0bps_v1_1_1
2017-09-30,0.021613544040222865,ALL,RF_longonly_0bps_v1_1_1
2017-10-31,0.0188432388942961,ALL,RF_longonly_0bps_v1_1_1
2017-11-30,0.010310592733522575,ALL,RF_longonly_0bps_v1_1_1
2017-12-31,0.04654946040993835,ALL,RF_longonly_0bps_v1_1_1
2018-01-31,-0.042999735052632916,ALL,RF_longonly_0bps_v1_1_1
2018-02-28,-0.010102445909315208,ALL,RF_longonly_0bps_v1_1_1
2018-03-31,0.007394301339102598,ALL,RF_longonly_0bps_v1_1_1
2018-04-30,0.007885894848541694,ALL,RF_longonly_0bps_v1_1_1
2018-05-31,0.0003868676452742886,ALL,RF_longonly_0bps_v1_1_1
2018-06-30,0.02898407667705483,ALL,RF_longonly_0bps_v1_1_1
2018-07-31,0.013582425831281091,ALL,RF_longonly_0bps_v1_1_1
2018-08-31,-0.00035614301230587323,ALL,RF_longonly_0bps_v1_1_1
2018-09-30,-0.07639668604365471,ALL,RF_longonly_0bps_v1_1_1
2018-10-31,-0.011401069248992637,ALL,RF_longonly_0bps_v1_1_1
2018-11-30,-0.06589312447732448,ALL,RF_longonly_0bps_v1_1_1
2018-12-31,0.06945679976375205,ALL,RF_longonly_0bps_v1_1_1
2019-01-31,0.04191284275620546,ALL,RF_longonly_0bps_v1_1_1
2019-02-28,0.009516433284671458,ALL,RF_longonly_0bps_v1_1_1
2019-03-31,0.04979802702935723,ALL,RF_longonly_0bps_v1_1_1
2019-04-30,-0.02074432694828123,ALL,RF_longonly_0bps_v1_1_1
2019-05-31,0.07332195880077091,ALL,RF_longonly_0bps_v1_1_1
2019-06-30,-0.00671907000395724,ALL,RF_longonly_0bps_v1_1_1
2019-07-31,-0.01607427537356435,ALL,RF_longonly_0bps_v1_1_1
2019-08-31,0.010373801592991772,ALL,RF_longonly_0bps_v1_1_1
2019-09-30,0.022670438384101974,ALL,RF_longonly_0bps_v1_1_1
2019-10-31,0.012347395708250235,ALL,RF_longonly_0bps_v1_1_1
2019-11-30,0.026799586128285993,ALL,RF_longonly_0bps_v1_1_1
2019-12-31,0.017087794584728266,ALL,RF_longonly_0bps_v1_1_1
2020-01-31,-0.056438847452415085,ALL,RF_longonly_0bps_v1_1_1
2020-02-29,-0.16207510534517083,ALL,RF_longonly_0bps_v1_1_1
2020-03-31,0.12410166944303361,ALL,RF_longonly_0bps_v1_1_1
2020-04-30,0.06141293432530922,ALL,RF_longonly_0bps_v1_1_1
2020-05-31,0.034088017201305124,ALL,RF_longonly_0bps_v1_1_1
2020-06-30,0.0794013213882551,ALL,RF_longonly_0bps_v1_1_1
2020-07-31,0.08076427194080567,ALL,RF_longonly_0bps_v1_1_1
2020-08-31,-0.024824171381347158,ALL,RF_longonly_0bps_v1_1_1
2020-09-30,-0.010820900828157726,ALL,RF_longonly_0bps_v1_1_1
2020-10-31,0.16022237279878623,ALL,RF_longonly_0bps_v1_1_1
2020-11-30,0.07975602686310793,ALL,RF_longonly_0bps_v1_1_1
2020-12-31,0.029821178498829416,ALL,RF_longonly_0bps_v1_1_1
2021-01-31,0.030355536830539997,ALL,RF_longonly_0bps_v1_1_1
2021-02-28,0.03712559526387132,ALL,RF_longonly_0bps_v1_1_1
2021-03-31,0.050189657325693686,ALL,RF_longonly_0bps_v1_1_1
2021-04-30,0.006711431421644269,ALL,RF_longonly_0bps_v1_1_1
2021-05-31,-0.00021745390204220769,ALL,RF_longonly_0bps_v1_1_1
2021-06-30,0.022845000979315848,ALL,RF_longonly_0bps_v1_1_1
2021-07-31,0.03526183073800692,ALL,RF_longonly_0bps_v1_1_1
2021-08-31,-0.0484275614388492,ALL,RF_longonly_0bps_v1_1_1
2021-09-30,0.07696077003142003,ALL,RF_longonly_0bps_v1_1_1
2021-10-31,-0.03332456766343557,ALL,RF_longonly_0bps_v1_1_1
2021-11-30,0.02271854473012012,ALL,RF_longonly_0bps_v1_1_1
2021-12-31,-0.06540184601966847,ALL,RF_longonly_0bps_v1_1_1
2022-01-31,-0.018136897591104206,ALL,RF_longonly_0bps_v1_1_1
2022-02-28,0.03656349165864702,ALL,RF_longonly_0bps_v1_1_1
2022-03-31,-0.074527184901492,ALL,RF_longonly_0bps_v1_1_1
2022-04-30,0.0035324895256396874,ALL,RF_longonly_0bps_v1_1_1
2022-05-31,-0.1084883470025101,ALL,RF_longonly_0bps_v1_1_1
2022-06-30,0.11308595023958032,ALL,RF_longonly_0bps_v1_1_1
2022-07-31,-0.03947361642398424,ALL,RF_longonly_0bps_v1_1_1
2022-08-31,-0.10141551950985213,ALL,RF_longonly_0bps_v1_1_1
2022-09-30,0.06362351875438754,ALL,RF_longonly_0bps_v1_1_1
2022-10-31,0.06617916475431022,ALL,RF_longonly_0bps_v1_1_1
2022-11-30,-0.05280704610549206,ALL,RF_longonly_0bps_v1_1_1
2022-12-31,0.09364040214377226,ALL,RF_longonly_0bps_v1_1_1
2023-01-31,-0.022301731055048315,ALL,RF_longonly_0bps_v1_1_1
2023-02-28,0.033781281546820134,ALL,RF_longonly_0bps_v1_1_1
2023-03-31,0.01161216905001422,ALL,RF_longonly_0bps_v1_1_1
2023-04-30,-0.023972274657478313,ALL,RF_longonly_0bps_v1_1_1
2023-05-31,0.0535202746183711,ALL,RF_longonly_0bps_v1_1_1
2023-06-30,0.02325522859574548,ALL,RF_longonly_0bps_v1_1_1
2023-07-31,-0.0421446734129592,ALL,RF_longonly_0bps_v1_1_1
2023-08-31,-0.04756331728782323,ALL,RF_longonly_0bps_v1_1_1
2023-09-30,-0.015036419778619163,ALL,RF_longonly_0bps_v1_1_1
2023-10-31,0.0754309855894023,ALL,RF_longonly_0bps_v1_1_1
2023-11-30,0.0595971372999351,ALL,RF_longonly_0bps_v1_1_1
2023-12-31,-0.01680973064679557,ALL,RF_longonly_0bps_v1_1_1
2024-01-31,0.0631580246418809,ALL,RF_longonly_0bps_v1_1_1
2024-02-29,0.039153682164477024,ALL,RF_longonly_0bps_v1_1_1
2024-03-31,-0.04199194641215884,ALL,RF_longonly_0bps_v1_1_1
2024-04-30,0.06205555950617572,ALL,RF_longonly_0bps_v1_1_1
2024-05-31,-0.015814955863948814,ALL,RF_longonly_0bps_v1_1_1
2024-06-30,0.01756677132426135,ALL,RF_longonly_0bps_v1_1_1
2024-07-31,0.015534812737002114,ALL,RF_longonly_0bps_v1_1_1
2024-08-31,0.02310766011405566,ALL,RF_longonly_0bps_v1_1_1
2024-09-30,-0.025499147364649283,ALL,RF_longonly_0bps_v1_1_1
2024-10-31,0.044752713146511684,ALL,RF_longonly_0bps_v1_1_1
2024-11-30,-0.03444711809091418,ALL,RF_longonly_0bps_v1_1_1
2024-12-31,0.04754123125603445,ALL,RF_longonly_0bps_v1_1_1
2025-01-31,-0.023114641619967038,ALL,RF_longonly_0bps_v1_1_1
2025-02-28,-0.019272533472865897,ALL,RF_longonly_0bps_v1_1_1
2025-03-31,0.010940841940564886,ALL,RF_longonly_0bps_v1_1_1
2025-04-30,0.07260641551313747,ALL,RF_longonly_0bps_v1_1_1
2025-05-31,0.04065417363002214,ALL,RF_longonly_0bps_v1_1_1
2025-06-30,0.01983276824034107,ALL,RF_longonly_0bps_v1_1_1
2025-07-31,0.029339987883542182,ALL,RF_longonly_0bps_v1_1_1
2025-08-31,0.012892551937205643,ALL,RF_longonly_0bps_v1_1_1
2025-09-30,0.0,ALL,RF_longonly_0bps_v1_1_1
