,DAX,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,IEUS,VGK
2009-10-31,0.0,0.0,0.15151515151515152,0.13636363636363635,0.015151515151515152,0.10606060606060606,0.12121212121212122,0.16666666666666666,0.06060606060606061,0.030303030303030304,0.07575757575757576,0.09090909090909091,0.0,0.045454545454545456
2009-11-30,0.0,0.0,0.15151515151515152,0.13636363636363635,0.015151515151515152,0.09090909090909091,0.12121212121212122,0.16666666666666666,0.06060606060606061,0.030303030303030304,0.07575757575757576,0.10606060606060606,0.0,0.045454545454545456
2009-12-31,0.0,0.0,0.13636363636363635,0.15151515151515152,0.015151515151515152,0.09090909090909091,0.12121212121212122,0.16666666666666666,0.06060606060606061,0.030303030303030304,0.07575757575757576,0.10606060606060606,0.0,0.045454545454545456
2010-01-31,0.0,0.0,0.15151515151515152,0.12121212121212122,0.015151515151515152,0.10606060606060606,0.13636363636363635,0.16666666666666666,0.06060606060606061,0.030303030303030304,0.07575757575757576,0.09090909090909091,0.0,0.045454545454545456
2010-02-28,0.0,0.0,0.16666666666666669,0.12121212121212123,0.015151515151515154,0.10606060606060608,0.13636363636363638,0.15151515151515155,0.07575757575757577,0.030303030303030307,0.060606060606060615,0.09090909090909093,0.0,0.04545454545454546
2010-03-31,0.0,0.0,0.16666666666666666,0.13636363636363635,0.015151515151515152,0.10606060606060606,0.12121212121212122,0.15151515151515152,0.06060606060606061,0.030303030303030304,0.07575757575757576,0.09090909090909091,0.0,0.045454545454545456
2010-04-30,0.0,0.0,0.16666666666666666,0.12121212121212122,0.015151515151515152,0.10606060606060606,0.13636363636363635,0.15151515151515152,0.045454545454545456,0.030303030303030304,0.07575757575757576,0.09090909090909091,0.0,0.06060606060606061
2010-05-31,0.0,0.0,0.16666666666666666,0.15151515151515152,0.015151515151515152,0.10606060606060606,0.13636363636363635,0.12121212121212122,0.045454545454545456,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.0,0.07575757575757576
2010-06-30,0.0,0.0,0.16666666666666666,0.15151515151515152,0.015151515151515152,0.12121212121212122,0.13636363636363635,0.10606060606060606,0.045454545454545456,0.030303030303030304,0.06060606060606061,0.07575757575757576,0.0,0.09090909090909091
2010-07-31,0.0,0.0,0.16666666666666666,0.12121212121212122,0.015151515151515152,0.10606060606060606,0.13636363636363635,0.15151515151515152,0.045454545454545456,0.030303030303030304,0.09090909090909091,0.07575757575757576,0.0,0.06060606060606061
2010-08-31,0.0,0.0,0.16666666666666666,0.10606060606060606,0.015151515151515152,0.13636363636363635,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.045454545454545456,0.06060606060606061,0.07575757575757576,0.0,0.09090909090909091
2010-09-30,0.0,0.0,0.16666666666666669,0.12121212121212123,0.015151515151515154,0.10606060606060608,0.13636363636363638,0.15151515151515155,0.07575757575757577,0.030303030303030307,0.04545454545454546,0.060606060606060615,0.0,0.09090909090909093
2010-10-31,0.0,0.0,0.16666666666666666,0.13636363636363635,0.015151515151515152,0.10606060606060606,0.12121212121212122,0.15151515151515152,0.045454545454545456,0.030303030303030304,0.09090909090909091,0.07575757575757576,0.0,0.06060606060606061
2010-11-30,0.0,0.0,0.16666666666666666,0.15151515151515152,0.015151515151515152,0.13636363636363635,0.12121212121212122,0.10606060606060606,0.045454545454545456,0.06060606060606061,0.07575757575757576,0.030303030303030304,0.0,0.09090909090909091
2010-12-31,0.0,0.0,0.16666666666666669,0.15151515151515155,0.015151515151515154,0.12121212121212123,0.13636363636363638,0.09090909090909093,0.060606060606060615,0.07575757575757577,0.04545454545454546,0.030303030303030307,0.0,0.10606060606060608
2011-01-31,0.0,0.0,0.16666666666666666,0.15151515151515152,0.015151515151515152,0.10606060606060606,0.12121212121212122,0.13636363636363635,0.06060606060606061,0.045454545454545456,0.030303030303030304,0.09090909090909091,0.0,0.07575757575757576
2011-02-28,0.0,0.0,0.16666666666666669,0.15151515151515155,0.015151515151515154,0.13636363636363638,0.10606060606060608,0.12121212121212123,0.060606060606060615,0.07575757575757577,0.030303030303030307,0.04545454545454546,0.0,0.09090909090909093
2011-03-31,0.0,0.0,0.13636363636363635,0.15151515151515152,0.015151515151515152,0.16666666666666666,0.12121212121212122,0.09090909090909091,0.030303030303030304,0.10606060606060606,0.045454545454545456,0.07575757575757576,0.0,0.06060606060606061
2011-04-30,0.0,0.0,0.16666666666666669,0.15151515151515155,0.015151515151515154,0.13636363636363638,0.12121212121212123,0.07575757575757577,0.030303030303030307,0.09090909090909093,0.060606060606060615,0.04545454545454546,0.0,0.10606060606060608
2011-05-31,0.0,0.0,0.16666666666666669,0.15151515151515155,0.015151515151515154,0.13636363636363638,0.12121212121212123,0.10606060606060608,0.07575757575757577,0.060606060606060615,0.04545454545454546,0.030303030303030307,0.0,0.09090909090909093
2011-06-30,0.0,0.0,0.13636363636363638,0.15151515151515155,0.015151515151515154,0.16666666666666669,0.10606060606060608,0.12121212121212123,0.060606060606060615,0.09090909090909093,0.04545454545454546,0.030303030303030307,0.0,0.07575757575757577
2011-07-31,0.0,0.0,0.15151515151515152,0.13636363636363635,0.015151515151515152,0.16666666666666666,0.06060606060606061,0.10606060606060606,0.045454545454545456,0.09090909090909091,0.030303030303030304,0.07575757575757576,0.0,0.12121212121212122
2011-08-31,0.0,0.0,0.16666666666666669,0.12121212121212123,0.015151515151515154,0.15151515151515155,0.10606060606060608,0.13636363636363638,0.07575757575757577,0.030303030303030307,0.04545454545454546,0.060606060606060615,0.0,0.09090909090909093
