,DIA,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,USMV,VNQ,VTV,VUG
2012-06-30,1.6090817518624837e-11,0.19999999997729112,0.19999999997722745,0.0,0.1999999999770427,0.19999999999024834,0.0,1.9539377774959373e-11,1.3023949389279666e-11,0.0,0.19999999998571305,7.169209204725853e-12,3.665404325683085e-11
2012-07-31,8.601983190577583e-12,0.1999999999918852,0.1999999999915265,0.0,0.19999999999143303,0.19999999999338508,0.0,8.89178336329157e-12,7.293268168623853e-12,0.0,1.1249866122364051e-10,6.660095666056086e-12,0.1999999998878244
2012-08-31,2.394800640487755e-10,0.1999999995859853,0.19999999917270772,0.0,0.19999999956990266,0.1999999998061211,0.0,2.452593673919458e-10,1.9325504161316473e-10,0.0,0.19999999218136816,1.6753575570553133e-10,8.838384791989806e-09
2012-09-30,2.505277644199492e-10,0.19999999973176366,0.19999999986753678,0.0,0.19999999972172988,0.19999999989531764,0.0,3.104988049996592e-10,2.7659224775463784e-10,0.0,0.19999998608963787,7.099319056972327e-11,1.378540218165216e-08
2012-10-31,0.19999999835282867,1.1168427037571926e-09,0.1999999992694533,0.0,1.268932194690801e-09,0.19999999913405228,0.0,0.19999999825876086,7.485374337849726e-10,0.0,0.19999999971617732,8.014937767565634e-10,1.3329215757166458e-09
2012-11-30,0.19999999961105822,1.8810412536548673e-10,0.19999999841054086,0.0,1.87209366592622e-10,0.19999999962677273,0.0,0.19999999980912833,1.612287382493622e-10,0.0,0.19999999991901182,1.9901611906651308e-09,9.67846968432839e-11
2012-12-31,0.1999999999394335,1.0295070193918298e-10,1.4581342430755865e-10,0.0,1.1267107120724293e-10,6.588113629412996e-10,0.0,0.19999999988845366,0.19999999920370778,0.0,0.1999999999731469,0.1999999998946589,8.035272593784783e-11
2013-01-31,0.1999999998966509,3.8756688507940315e-11,9.463845855333611e-11,0.0,1.1351744794420753e-10,1.2067614085666245e-10,0.0,0.19999999991310993,0.1999999998958602,0.0,0.1999999999632179,0.19999999988748438,7.60878753086452e-11
2013-02-28,0.1999999999131476,0.19999999979604324,0.1999999997671533,0.0,1.6556271395745965e-10,7.544183106447461e-09,0.0,4.769629563223391e-10,2.411486308575955e-10,0.0,0.19999999994790973,9.419475819746917e-10,0.1999999912059411
2013-03-31,0.19999999988870815,0.19999999962535073,0.19999999962893925,0.0,9.968219082882687e-11,3.0003911357698e-10,0.0,1.3818400851675368e-10,9.890244431365195e-11,0.0,0.19999999993836837,0.19999999990994774,3.718780120829831e-10
2013-04-30,0.19999999980098224,1.4366470880394038e-10,0.19999999992842205,0.0,8.885740850512457e-11,1.21956274589179e-10,0.0,0.19999999998285198,8.834716524495347e-11,0.0,0.19999999983096653,0.1999999998930142,1.209373348372201e-10
2013-05-31,0.1999999999374241,5.6979447006341015e-11,0.19999999989974684,0.0,4.072759538452879e-11,7.375765461098063e-09,0.0,1.3072342927747706e-10,6.200860360084011e-11,0.0,0.19999999995063694,0.19999999998399476,0.19999999256199283
2013-06-30,0.1999999997440753,1.7942932991749637e-10,0.19999999980982813,0.0,1.2693383619671033e-10,3.0410207117991595e-10,0.0,0.19999999993949785,1.5935820071663012e-10,0.0,0.1999999997327648,0.19999999974786842,2.561420787956554e-10
2013-07-31,0.19999999935281074,2.494839712616559e-10,7.814329109559285e-10,0.0,1.464893171140099e-10,2.009386265163089e-10,0.0,0.19999999990451706,0.19999999951159456,0.0,0.19999999976617963,0.19999999987753145,2.090217152079766e-10
2013-08-31,0.19999999993119374,2.473252871982775e-10,0.19999999995211468,0.0,2.471435575381004e-11,2.558662012908324e-11,0.0,0.19999999998987833,6.071263219758285e-11,0.0,0.19999999994285206,0.19999999979671254,2.8909854016684692e-11
2013-09-30,0.19999999987809403,7.93828979660676e-11,0.199999999872841,0.0,8.989812729430695e-11,1.0147722630948335e-10,0.0,0.1999999999723305,1.1119894002946218e-10,0.0,0.19999999986802283,0.1999999999018786,1.2487568828291555e-10
2013-10-31,0.19999999949812686,2.1109529544474242e-10,5.45004087770246e-10,0.0,8.047991046577791e-11,1.4179477295487455e-10,0.0,0.19999999997674286,0.19999999993740608,0.0,0.19999999951036523,0.19999999992002046,1.7896446753754823e-10
2013-11-30,0.1999999996515152,3.237500070302188e-10,0.19999999836509647,0.0,2.3991049312049374e-10,3.2368972725684914e-10,0.0,0.199999999944068,0.19999999991150383,0.0,1.2910024801043903e-09,0.19999999977321747,1.762464550740404e-10
2013-12-31,0.1999999997359049,1.872913779285268e-10,0.19999999988999262,0.0,9.346756047007068e-11,1.2159683331602807e-10,0.0,0.19999999988711786,0.19999999984485384,0.0,2.1659270496021605e-10,0.19999999980355757,2.1962473268645197e-10
2014-01-31,0.19999998851772877,4.02389841379655e-11,0.19999999999398846,0.0,1.293497623231334e-11,1.79472701537074e-11,0.0,0.199999999993868,0.19999999997910292,0.0,1.1475978619834674e-08,0.1999999999336909,3.4521034515433135e-11
2014-02-28,0.19999999407767519,2.335157998218855e-10,9.27268154414921e-09,0.0,1.4575175841843402e-10,1.8835117654451357e-10,0.0,0.19999999993943238,0.1999999998504905,0.0,2.002936517007269e-09,0.19999999951600622,0.19999999477315902
2014-03-31,5.6186547891227604e-11,0.19999999996017725,0.19999999984207223,0.0,0.19999999997991222,0.1999999999865463,0.0,0.1999999999247128,6.134215379781308e-11,0.0,4.8259280298423864e-11,1.0150164233000539e-10,3.928952599249211e-11
2014-04-30,3.409623912590086e-11,0.19999999998757823,0.199999999976384,0.0,2.2427732146475695e-11,0.1999999999884866,0.0,0.19999999998847887,0.19999999987521935,0.0,3.3612459510568495e-11,6.008879756193913e-11,3.362774620084745e-11
2014-05-31,3.471475687614242e-11,1.029955891643917e-10,0.19999999996113027,0.0,2.482619365176915e-11,0.1999999999955996,0.0,0.19999999997315673,0.19999999995501352,0.0,2.009066375631479e-11,0.19999999989757358,3.4899020980186815e-11
2014-06-30,7.350810371170098e-12,0.19999999999175824,0.19999999997632215,0.0,5.327358149948988e-12,0.1999999999963358,0.0,0.199999999987162,0.19999999997978324,0.0,7.631426484005962e-12,4.116196078964133e-11,7.166996894263526e-12
2014-07-31,8.527953016519202e-11,1.8003823024438018e-10,0.19999999994113699,0.0,6.113887882147196e-11,0.19999999998791956,0.0,0.19999999994808315,0.19999999994203943,0.0,2.1006364194848192e-10,2.2962329192116632e-10,0.19999999941467717
2014-08-31,1.635696625923478e-11,1.6143665059039597e-11,0.1999999999859964,0.0,1.3627598401999275e-11,0.19999999999723708,0.0,0.19999999998213858,0.19999999998256962,0.0,2.7339817478801165e-11,1.3150912195838572e-11,0.19999999996543935
2014-09-30,2.7104032353045545e-12,3.326867961398815e-12,0.19999999999721244,0.0,2.357612619449071e-12,0.19999999999942475,0.0,0.19999999999652962,0.19999999999750454,0.0,3.649294041957646e-12,2.784377811020073e-12,0.19999999999450016
2014-10-31,3.0378771901101754e-11,3.270099708525948e-11,0.19999999878916108,0.0,0.1999999999317325,0.19999999998969392,0.0,0.19999999993024145,1.2577945742013282e-09,0.0,7.392947840688283e-11,4.869185731149269e-11,0.19999999991567546
2014-11-30,9.83684151366435e-12,8.992214868355096e-12,5.988931490940926e-11,0.0,0.1999999999953434,0.1999999999979604,0.0,0.19999999999198895,0.19999999993137385,0.0,8.011766644173179e-12,9.976388875384677e-12,0.1999999999866269
2014-12-31,1.1372394906817281e-11,0.1999999999577598,4.234420964298076e-11,0.0,0.19999999999381476,0.1999999999944512,0.0,0.1999999999718586,2.3985429918526433e-11,0.0,2.374280779583128e-11,1.605054225689756e-11,0.1999999999646205
2015-01-31,3.856167591932021e-11,5.3778483695661284e-09,0.199999999833349,0.0,7.344117595875027e-11,1.7151402677786216e-10,0.0,0.19999999992343026,0.1999999946497582,0.0,0.19999999992566048,8.560012010312577e-11,0.19999999992083672
2015-02-28,1.6797281162500456e-10,2.198010820396411e-10,1.0478987795441263e-09,0.0,0.19999999989268002,1.3243125022137084e-10,0.0,0.19999999981927924,0.19999999984755715,0.0,0.19999999895195153,2.3719041050552637e-10,0.19999999968323776
2015-03-31,3.1928691994189095e-10,7.153823279407349e-09,0.19999999900149304,0.0,5.416700844327641e-10,1.801341797399216e-10,0.0,0.19999999974139196,0.19999999932661416,0.0,0.199999999607221,1.5237831556880665e-10,0.19999999397598714
2015-04-30,1.4397379232999904e-10,6.185958761432388e-10,0.19999999981626415,0.0,0.19999999988338832,1.4483705933946037e-10,0.0,2.2803603528395075e-10,0.1999999997032325,0.0,0.19999999950471128,1.4571394571238723e-10,0.19999999981124678
2015-05-31,1.479081924788202e-10,4.883140610332754e-10,0.1999999996008792,0.0,6.142033075923112e-10,3.8944572132412203e-10,0.0,0.19999999966848336,0.19999999934815565,0.0,0.19999999968574694,3.7615152267627663e-10,0.19999999968071197
2015-06-30,2.4514083080416233e-11,2.344814494223104e-07,0.19999999995055473,0.0,6.244542850251625e-11,1.618051115497206e-10,0.0,0.19999999629637039,0.1999999992198173,0.0,0.1999997698052328,4.653400638871134e-11,0.19999999995127682
2015-07-31,3.6269368629018244e-11,2.329224369461093e-07,0.1999999998685192,0.0,0.1999999999659144,1.3358597044579908e-10,0.0,2.2693391555598144e-10,0.19999999777590025,0.0,0.19999976910140266,5.0902572577310577e-11,0.19999999991813483
2015-08-31,1.3403498619256901e-10,0.199999999601665,0.1999999996877042,0.0,2.1739846946246295e-09,0.19999999913846564,0.0,3.8785384662382634e-10,8.167382916902154e-10,0.0,0.1999999983696007,1.7745324857819794e-10,0.19999999951249942
2015-09-30,8.203194083335665e-11,0.19999999983953004,0.19999999982734437,0.0,4.045429686252737e-10,0.1999999999255499,0.0,9.387960948445253e-11,9.023058798013597e-11,0.0,0.19999999981408279,1.0487355685206942e-10,0.19999999981793426
2015-10-31,5.075249483107552e-11,0.19999999983576333,0.19999999986141237,0.0,0.19999999993855835,8.941736698050622e-09,0.0,8.483393572343368e-11,6.093791005137392e-11,0.0,0.1999999998612688,5.447098584468852e-11,0.19999999131026502
2015-11-30,1.7717465839914518e-10,0.19999999938394403,0.19999999894058984,0.0,0.19999999978329178,0.19999999954488135,0.0,2.4556181220262654e-10,3.5324596170813736e-10,1.7662239395169217e-10,2.267656948994759e-09,1.906201173294581e-10,0.19999999893641116
2015-12-31,9.375139345007604e-11,0.19999999946803715,1.5849099463558193e-08,0.0,3.552816697318644e-10,0.19999999997540255,0.0,1.425626196105257e-10,2.1435349289520832e-10,0.19999999996656684,0.1999999880660277,1.0521058642315265e-10,0.19999999576370642
2016-01-31,1.0193997299980599e-10,0.19999999970216187,4.732226131539559e-09,0.0,0.19999999625096268,0.19999999974639818,0.0,1.7337146337153576e-10,3.163999701981869e-10,1.0280824653567008e-10,0.1999999996049798,1.2297527608807792e-10,0.19999999914577637
2016-02-29,1.1663439268571356e-10,0.19999999980215027,1.1402631872758811e-09,0.0,0.19999999934026735,0.1999999998168675,0.0,1.373155127517414e-10,1.3853075552393324e-10,1.4150476667313417e-10,0.19999999978139874,1.25134829398403e-10,0.1999999994599325
2016-03-31,6.21582957210258e-11,0.19999999984669203,0.19999999950564148,0.0,5.495537411422451e-10,0.1999999998086862,0.0,9.107046776731135e-11,1.1716336291063275e-10,3.1602152894753385e-10,0.19999999984654954,6.441947617864487e-11,0.1999999997920437
2016-04-30,2.355925130722579e-11,0.19999999992276185,0.1999999999731426,0.0,4.884505462246911e-11,0.19999999993167114,0.0,2.9035426106633698e-11,2.96208298379682e-11,0.19999999999153964,0.19999999990995584,2.5205934275887725e-11,1.146625360095806e-10
2016-05-31,7.029871560532757e-11,0.19999999986050696,0.19999999974227461,0.0,1.220978659981147e-10,0.1999999997636518,0.0,1.179941621285174e-10,1.2741006046300105e-10,7.612209628353227e-10,0.19999999982043792,8.238104163950916e-11,0.19999999953172595
2016-06-30,9.737561533808322e-11,0.19999999984306907,0.1999999998706383,0.0,6.329577130811612e-11,0.19999999988145378,0.0,8.810332949109041e-11,8.330361800730337e-11,5.3469260644063e-10,0.19999999983878522,9.981784917731898e-11,0.19999999959946477
2016-07-31,9.446878789421618e-11,0.19999999989104167,0.19999999993655565,0.0,6.869540700790227e-11,0.1999999999284309,0.0,6.301529370406756e-11,5.1949011164777535e-11,8.539474115207672e-11,0.199999999868728,9.385920887690065e-11,0.1999999999178612
2016-08-31,7.541721214305173e-11,0.19999999990094924,0.1999999999503835,0.0,5.432292200628996e-11,0.1999999999540538,0.0,5.258832965360437e-11,4.6325209834479225e-11,4.922641917612316e-11,0.19999999989997733,7.426529953530744e-11,0.1999999999424907
2016-09-30,7.25383424522913e-11,0.19999999991281758,0.199999999952087,0.0,4.702485902455266e-11,0.19999999994812548,0.0,4.554301292182287e-11,4.006796544832281e-11,3.330705336722672e-11,0.19999999992837275,7.207535184596061e-11,0.19999999994804066
2016-10-31,9.858972441407999e-11,0.19999999991182285,0.1999999999475132,0.0,5.132467916454562e-10,0.19999999991409959,0.0,7.978447632931189e-11,5.96314094344691e-11,5.3574473360146476e-11,0.1999999999182612,1.0124784455207051e-10,0.1999999994022284
2016-11-30,1.1738417801051213e-10,0.19999999982739294,0.19999999979886443,0.0,8.343895274562415e-10,0.19999999981115654,0.0,0.19999999979277058,2.2166451004689744e-10,1.8233992089177772e-10,0.1999999987632974,1.5285643323382256e-10,4.97883597239104e-10
2016-12-31,1.3092113182814137e-10,0.1999999998558165,0.19999999982868266,0.0,2.6710962901757097e-08,0.19999999981959263,0.0,5.909665880863996e-10,1.0490324917150079e-10,1.3591673169016485e-10,0.19999999980739813,1.4224784861331823e-10,0.19999997287259144
2017-01-31,3.065411472428997e-11,0.19999999996209705,0.19999999995333276,0.0,2.6847051961778914e-08,0.19999999994572984,0.0,5.430676492333885e-11,5.79161506411384e-11,4.3431750048225135e-11,0.1999999998723732,3.58074067328603e-11,0.19999997319729895
2017-02-28,1.3119907678167596e-11,0.19999999998926804,0.19999999998770937,0.0,1.9257525588988608e-10,0.1999999999828545,0.0,1.696442551628724e-11,2.6454283706254006e-11,1.7633413046582958e-11,0.19999999996675918,1.3908379629696356e-11,0.19999999979275318
2017-03-31,8.96135377209681e-11,0.19999999985873881,0.19999999988526262,0.0,1.3206014904092823e-10,0.19999999990771056,0.0,6.64605989834514e-11,6.849686857188043e-11,6.519580896975721e-11,0.19999999991759806,8.592858116932263e-11,0.19999999992293438
2017-04-30,9.956963686116898e-11,0.1999999998251254,0.19999999984683464,0.0,2.405997353990637e-10,0.19999999986099193,0.0,8.615726803654638e-11,8.638832534944745e-11,8.446018284819032e-11,0.19999999986071335,1.0017136430675767e-10,0.1999999999089883
2017-05-31,5.566865918939075e-12,0.1999999999757942,0.19999999997386517,2.1817645456054615e-11,1.698956870895755e-10,0.19999999997327036,0.0,3.010402499293938e-12,6.141810653984345e-12,6.632854183513226e-12,0.19999999988085682,5.866283204806234e-12,0.19999999997728193
2017-06-30,9.093996067586899e-11,0.19999999979021635,0.19999999983445324,8.917597000509109e-11,8.973556146470555e-10,0.1999999998307735,0.0,9.168090552535512e-11,4.8652415208658804e-11,8.239048461606686e-11,0.19999999941132096,8.990047849798928e-11,0.19999999974313998
