,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2015-07-31,2.413705098058529e-13,2.413705098058529e-13,2.413705098058529e-13,2.413705098058529e-13,1.3647006862650978e-13,9.16664037665172e-13,2.413705098058529e-13,0.19999999999943285,4.954884802008671e-13,2.6601064198457116e-13,0.19999999999968582,6.631735878312783e-13,3.4740329048315326e-13,3.9920583069756416e-13,4.690838144506516e-13,3.943760449755751e-13,3.7010958542683486e-13,4.0237434420743746e-13,0.19999999998821577,1.557972394852749e-12,0.1999999999929975,2.2521553674418954e-12,2.413705098058529e-13,2.528598934379382e-12,1.6730593680179243e-12,2.413705098058529e-13,1.510786500688465e-12,1.2168644256820095e-12,0.19999999999649862,3.1080069258768824e-14,2.413705098058529e-13,9.405060587167644e-14,4.4282220698341753e-13,1.7498603087133727e-12,8.955476742779378e-13,2.4254284261362214e-12
2015-08-31,3.961756452306768e-13,3.961756452306768e-13,3.961756452306768e-13,3.961756452306768e-13,2.215110582381423e-13,1.3927449276507891e-12,3.961756452306768e-13,0.19999999999942075,7.832467076004768e-13,4.1750456673813923e-13,0.1999999999997169,1.070208388673636e-12,5.470722422621348e-13,6.037486092078968e-13,7.363625566518742e-13,6.017041504939218e-13,5.618633377768024e-13,8.542821786700957e-13,3.1028130936431396e-12,1.7983426855441283e-12,0.19999999999256582,2.3494755315375845e-12,3.961756452306768e-13,5.346893395530303e-12,0.1999999999763914,3.961756452306768e-13,1.760547986235445e-12,1.627280350743197e-12,0.19999999999622575,5.709744616591936e-14,3.961756452306768e-13,1.5308857235158e-13,7.04441863359404e-13,1.8710432114713604e-12,1.3954066801601648e-12,4.553463195480564e-12
2015-09-30,5.492142306148795e-13,5.492142306148795e-13,5.492142306148795e-13,5.492142306148795e-13,3.194517460661509e-13,1.8218351287871796e-12,5.492142306148795e-13,0.1999999999992329,9.130896390267707e-13,5.56160606168077e-13,0.19999999999964585,1.2742059416885288e-12,6.280398651233515e-13,7.563046258554696e-13,8.846907847670109e-13,7.316079712409482e-13,6.966841285233645e-13,9.84689490007713e-13,2.3473547323156386e-12,2.1988073407715358e-12,0.1999999999927406,3.2242805905162426e-12,5.492142306148795e-13,3.7023631933730415e-12,0.19999999997203977,5.492142306148795e-13,2.4399226916324044e-12,2.2130844836393646e-12,0.19999999999638202,1.1823233669399767e-13,5.492142306148795e-13,2.421804711940855e-13,8.587251505406807e-13,3.2359103653691013e-12,1.769642513427611e-12,3.647912984312109e-12
2015-10-31,4.257131485415756e-13,4.257131485415756e-13,4.257131485415756e-13,4.257131485415756e-13,3.259425235207443e-13,1.1471319809844192e-12,4.257131485415756e-13,0.19999999999956997,6.176501792508882e-13,4.370377329724562e-13,0.1999999999998297,7.87628488469181e-13,4.788139918339392e-13,5.438013674655121e-13,5.98204129905451e-13,5.333236650945578e-13,5.183150805093737e-13,6.409455259776231e-13,2.176207284958111e-12,1.4236651182058837e-12,0.19999999999121498,2.6218562335417386e-12,4.257131485415756e-13,6.326109605485349e-12,0.19999999997976325,4.257131485415756e-13,1.6222755610261987e-12,1.4625560675199266e-12,0.19999999999337542,2.1753883829425728e-13,4.257131485415756e-13,2.871975840998567e-13,5.786081163614673e-13,2.666407046257001e-12,1.0779658130086683e-12,5.7519227971315844e-12
2015-11-30,3.693144759860442e-12,3.693144759860442e-12,3.693144759860442e-12,3.693144759860442e-12,2.1097296232633076e-12,1.0823023408042327e-11,3.693144759860442e-12,0.19999999999457363,6.703023261553871e-12,3.773723022821088e-12,0.19999999999701756,8.314523118083745e-12,4.3136649858902085e-12,5.309443933447566e-12,6.046436414623853e-12,5.3023276173327845e-12,4.985693117365533e-12,5.149867027803115e-12,1.1422276251424537e-11,1.1388880356017024e-11,0.19999999991263795,1.5460162884576013e-11,3.693144759860442e-12,5.775743699699873e-11,0.1999999999027042,3.693144759860442e-12,1.2018771331187561e-11,1.1728401741131878e-11,0.1999999999057556,9.801255357829114e-13,1.0764373272406427e-11,1.7126246401239464e-12,5.829213173069886e-12,1.4260912223230128e-11,1.0486982257872317e-11,3.481750702785806e-11
2015-12-31,9.708901429235496e-13,5.14084919476553e-13,9.708901429235496e-13,9.708901429235496e-13,4.605134635137838e-13,3.077208158757326e-12,9.708901429235496e-13,0.1999999999988189,1.6712589718048042e-12,9.54909087651726e-13,0.1999999999994357,2.148365056581108e-12,1.0610712977856023e-12,1.3353881850916004e-12,1.5075881638578717e-12,1.3160717840000929e-12,1.2511821429199563e-12,1.3317434524939505e-12,4.0261927996043345e-12,3.2720285598127694e-12,0.19999999996645257,4.061155836931716e-12,9.708901429235496e-13,3.771163223774725e-12,0.19999999998772908,9.708901429235496e-13,3.5086640474194332e-12,3.477138025127136e-12,0.19999999998659623,2.423296464949392e-13,3.1489107653792354e-12,3.575071200536803e-13,1.4937792580553923e-12,4.190023522400396e-12,2.9625194155726434e-12,4.001465896293793e-12
2016-01-31,2.3032062470297827e-13,1.0782004690216499e-13,2.3032062470297827e-13,2.3032062470297827e-13,9.233489201516228e-14,7.790288445508204e-13,2.3032062470297827e-13,0.19999999999965504,3.791284011281797e-13,1.9973516121490754e-13,0.19999999999989573,5.471273569506075e-13,2.0545632066517067e-13,2.9581275403852814e-13,3.5141276844889106e-13,2.839914159624533e-13,2.719412977105526e-13,4.226721102855648e-13,7.144826393585132e-13,7.248501557968381e-13,0.19999999999232773,1.38306946198566e-12,2.3032062470297827e-13,7.56288375058571e-13,0.19999999999619675,2.3032062470297827e-13,9.311299186901916e-13,9.700388791878278e-13,0.19999999999612067,2.878621516313969e-14,8.703227254533468e-13,6.862045706886262e-14,3.4784778581686144e-13,1.5964737263208601e-12,7.552862293068093e-13,1.3386807715741315e-12
2016-02-29,2.525869388338844e-12,1.226638381023308e-12,2.525869388338844e-12,2.525869388338844e-12,1.0010656939636762e-12,6.120748978346589e-12,2.525869388338844e-12,0.1999999999966213,3.956723613265559e-12,2.041249762301819e-12,0.1999999999961777,5.3655507925880234e-12,2.062501824840955e-12,3.123870131785196e-12,3.611887048559807e-12,3.000061486945419e-12,2.8765858197026154e-12,5.69591742769362e-12,5.845087754368586e-12,6.070558709583757e-12,0.19999999996320855,7.070759009245147e-12,2.525869388338844e-12,2.5250055650439454e-11,0.19999999992066914,2.525869388338844e-12,5.756798014381115e-12,5.774547480701998e-12,0.19999999995638348,1.6248734416368056e-13,5.924133757027446e-12,6.804124424569565e-13,3.6083718827320972e-12,1.697823610375045e-11,6.150648539996846e-12,2.242980736673209e-11
2016-03-31,4.5147285614973644e-13,2.2538698728755897e-13,4.5147285614973644e-13,4.5147285614973644e-13,1.9848571862488827e-13,2.535055363620768e-12,4.5147285614973644e-13,0.19999999999938506,8.688041753670913e-13,3.8972737562325307e-13,0.1999999999994016,1.3812288758550654e-12,3.74082939219524e-13,6.578692100389507e-13,7.261143299688403e-13,6.31186618140073e-13,5.569808636351704e-13,1.9010711427935596e-12,2.4673151731295557e-12,2.2779026676575484e-12,0.1999999999952772,8.240293212921563e-12,4.5147285614973644e-13,7.231727525568525e-11,0.19999999999333018,4.5147285614973644e-13,3.5840946857418646e-12,3.220762645945418e-12,6.088920106166958e-12,4.263633695969725e-14,3.2279857684315387e-12,1.2817212024202166e-13,7.363430857501443e-13,0.19999999985518233,2.2590216013488928e-12,3.967818015823192e-11
2016-04-30,2.293802479059981e-13,1.388211377554535e-13,2.293802479059981e-13,2.293802479059981e-13,1.4278980582284225e-13,8.966570576677028e-13,2.293802479059981e-13,0.19999999999964507,3.8794728636289073e-13,2.1257577836714617e-13,0.19999999999960322,5.634737389361306e-13,2.4314769726623736e-13,3.1604158534849206e-13,3.487670146454689e-13,3.0660012789522014e-13,2.863231502273347e-13,3.408521832725656e-12,7.842967965803206e-13,8.808823837676918e-13,0.19999999999123688,1.6605617432681245e-11,2.293802479059981e-13,8.796654253333115e-11,0.19999999997157197,2.293802479059981e-13,8.991189999116162e-13,9.475734362442982e-13,1.656957017951292e-11,4.7009654270621604e-14,9.434473146189177e-13,9.548667454577405e-14,3.459741342649877e-13,0.19999999974798513,8.565823991925636e-13,1.5438792330364073e-10
