,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2008-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,5.198322531161947e-13,5.198322531161947e-13,5.198322531161947e-13,5.198322531161947e-13,5.198322531161947e-13,1.5585946380795864e-12,5.198322531161947e-13,0.1999999999992196,0.19999999998073162,1.7259482083242324e-12,3.1800169300657828e-12,0.1999999999935328,0.1999999999991093,2.3465896761521974e-12,2.795797818158275e-12,3.1460599927241367e-12,6.183766086506679e-12,0.1999999999809658,5.198322531161947e-13,5.198322531161947e-13,8.259736746589785e-13,1.4896045165313148e-12,5.198322531161947e-13,2.55192711831143e-12,2.396788259979634e-12,5.198322531161947e-13,1.5977032692784186e-12,1.1790334728705942e-12,5.198322531161947e-13,5.198322531161947e-13,5.198322531161947e-13,5.198322531161947e-13,3.518806849340919e-12,1.2839456749927108e-12,1.1077010661064568e-12,2.2750060024178652e-12
2009-11-30,1.2720673506944153e-13,1.2720673506944153e-13,1.2720673506944153e-13,1.2720673506944153e-13,1.2720673506944153e-13,2.9987860893682115e-13,1.2720673506944153e-13,0.19999999998751727,0.1999999999970763,3.582692416974361e-13,1.8317254316407292e-12,0.19999999999332987,0.19999999999836626,7.807842655061342e-13,5.342691481017138e-13,9.785889571120767e-13,1.5489048417373342e-12,0.1999999999948436,1.2720673506944153e-13,1.2720673506944153e-13,2.5479177295320633e-13,3.191794562735714e-13,1.2720673506944153e-13,5.042981880812026e-13,6.600223863101739e-12,1.2720673506944153e-13,3.521443837035794e-13,3.080469587476271e-13,1.2720673506944153e-13,1.2720673506944153e-13,1.2720673506944153e-13,1.2720673506944153e-13,1.7232836229265932e-12,9.979842343751526e-12,2.9536372129836857e-13,4.1639680857305854e-13
2009-12-31,4.229904105088379e-12,4.229904105088379e-12,4.229904105088379e-12,4.229904105088379e-12,4.229904105088379e-12,1.2225397174349982e-11,4.229904105088379e-12,3.839645435151726e-11,4.823046038659154e-11,1.0122505663768631e-11,2.4312936920018397e-10,0.199999999972609,0.1999999999820238,3.424075992024166e-11,3.219922831195011e-11,2.09684695123524e-11,9.628665011591537e-11,0.1999999999736601,4.229904105088379e-12,4.229904105088379e-12,1.35053466747242e-11,1.5923710430199764e-11,4.229904105088379e-12,1.5071248494814624e-10,0.19999999925120987,4.229904105088379e-12,2.4782528725487748e-11,1.1808667904527986e-11,4.229904105088379e-12,4.229904105088379e-12,4.229904105088379e-12,4.229904105088379e-12,2.0170979233550516e-11,0.19999999996503054,1.0029365616490083e-11,1.3515872894320854e-11
2010-01-31,2.618893625270903e-12,2.618893625270903e-12,2.618893625270903e-12,2.618893625270903e-12,2.618893625270903e-12,1.975729532543064e-12,2.618893625270903e-12,0.19999999998851312,1.8277800144791885e-12,1.0280334828632076e-12,0.1999999999484926,0.19999999998571708,1.994852218102125e-12,2.1216433497696093e-12,1.4608698494851065e-12,1.7974687807349156e-12,2.3152309195328064e-12,0.19999999999891965,2.618893625270903e-12,2.618893625270903e-12,1.379269456606656e-11,2.560644101252472e-12,2.618893625270903e-12,3.722163816917501e-12,3.5917349026162447e-12,2.618893625270903e-12,3.693962515730519e-12,1.9373834519416202e-12,2.618893625270903e-12,2.618893625270903e-12,2.618893625270903e-12,2.618893625270903e-12,1.7964608077500566e-12,0.1999999999922263,1.989202631026452e-12,1.860919461080983e-12
2010-02-28,2.382070127782213e-11,2.382070127782213e-11,2.382070127782213e-11,2.382070127782213e-11,2.382070127782213e-11,6.722142822041732e-12,2.382070127782213e-11,2.95685797574297e-11,3.2040487029362156e-12,2.0567217262773203e-12,6.50084267030873e-11,6.064067818398552e-12,4.398544966089597e-12,3.2926125985678385e-12,3.727971281332049e-12,2.4410478704493296e-12,3.1703016860154326e-12,0.19999999999423945,2.382070127782213e-11,2.382070127782213e-11,0.19999999977883043,0.19999999979877645,2.382070127782213e-11,5.037184454589931e-11,0.1999999998925229,2.382070127782213e-11,2.3662488584618287e-11,7.362372940221629e-12,2.382070127782213e-11,2.382070127782213e-11,2.382070127782213e-11,2.382070127782213e-11,4.005702751857059e-12,0.19999999996364187,1.1286511543792507e-11,1.215593215962312e-11
2010-03-31,1.8039863905184562e-12,1.8039863905184562e-12,1.8039863905184562e-12,1.8039863905184562e-12,9.786660904545446e-13,3.81594218703876e-12,1.8039863905184562e-12,0.19999999999220355,2.4032101042050856e-12,1.620856764810295e-12,8.701869342693732e-11,2.513853175963913e-12,1.9254579070582693e-12,1.7757395242733376e-12,2.0784780177845398e-12,1.6964621828114428e-12,1.859951299767511e-12,1.548396681769206e-11,1.8039863905184562e-12,1.8039863905184562e-12,0.19999999998953977,0.19999999974849939,1.8039863905184562e-12,7.467762696018733e-12,1.1600686623221193e-10,1.8039863905184562e-12,0.19999999998763238,3.2352484989044933e-12,1.8039863905184562e-12,1.8039863905184562e-12,1.8039863905184562e-12,1.8039863905184562e-12,2.237628349951874e-12,0.1999999999984996,3.659898008644168e-12,4.3949213045089465e-12
2010-04-30,2.621948961049629e-12,2.621948961049629e-12,2.621948961049629e-12,2.621948961049629e-12,1.2312545539073183e-12,4.072537752714374e-12,2.621948961049629e-12,0.19999999998357051,1.4247356329534136e-12,7.459604079569015e-13,2.6314001808325438e-12,1.6395145198952248e-12,1.2123597420620109e-12,9.309609639194242e-13,1.8068363621323838e-12,9.489872800362674e-13,1.0421032949659133e-12,0.19999999999368598,2.621948961049629e-12,2.621948961049629e-12,0.19999999999019355,0.19999999982299657,2.621948961049629e-12,1.4120846008940841e-10,8.355940020265505e-12,2.621948961049629e-12,1.2345144830456317e-11,3.95900868655651e-12,2.621948961049629e-12,2.621948961049629e-12,2.621948961049629e-12,2.621948961049629e-12,1.4237278375943394e-12,0.19999999998246784,3.344495037840066e-12,4.67676157066884e-12
2010-05-31,8.796427129162985e-12,8.796427129162985e-12,8.796427129162985e-12,8.796427129162985e-12,6.450771535326425e-13,5.4914809807491804e-12,8.796427129162985e-12,1.1119443842608054e-11,1.178425974309823e-12,4.921031537636713e-13,2.033171483110637e-12,1.352184481361998e-12,6.901961194561566e-13,7.059375521219694e-13,1.2294996947882512e-12,7.670079089424912e-13,7.723402712733492e-13,0.19999999999760773,8.796427129162985e-12,8.796427129162985e-12,0.1999999999913302,0.1999999998969414,8.796427129162985e-12,1.422291928523373e-11,1.4024338053244053e-11,8.796427129162985e-12,0.19999999994091475,4.500221872341246e-12,8.796427129162985e-12,8.796427129162985e-12,8.796427129162985e-12,3.1189028325446644e-13,1.1560357195670688e-12,0.19999999999666931,5.661310099192453e-12,4.62590835247417e-12
2010-06-30,0.033333333331491376,0.033333333331491376,0.033333333331491376,0.033333333331491376,6.565468765785462e-14,5.504722208999749e-13,0.033333333331491376,0.19999999999970458,1.7088036576497152e-13,6.811526227083586e-14,4.4637355092821204e-13,1.5503497858178709e-13,8.497757550612797e-14,1.0735422571227486e-13,1.9030742529672038e-13,1.0259318652228873e-13,9.399789109431544e-14,0.1999999999997834,0.033333333331491376,0.033333333331491376,3.5588231375444935e-13,2.1224888986537276e-12,0.033333333331491376,4.734582943008075e-13,8.656310760437122e-13,0.033333333331491376,1.709275885487161e-11,3.0481804910906624e-13,0.033333333331491376,0.033333333331491376,0.033333333331491376,4.93210355699965e-14,1.4200615673013384e-13,0.1999999999985351,3.9991249974858055e-13,2.3838398681393453e-13
2010-07-31,3.481524965143994e-11,3.481524965143994e-11,3.481524965143994e-11,3.481524965143994e-11,4.931138220624696e-12,0.19999999978670915,3.481524965143994e-11,0.19999999998452622,4.694738668060863e-12,4.017365633162457e-12,1.6722113808537884e-11,6.279868755956538e-12,6.4054229970241496e-12,5.403625806149267e-12,6.898692521327595e-12,4.320752210510689e-12,4.369837641767049e-12,0.19999999999353524,3.481524965143994e-11,3.481524965143994e-11,3.1732003991336346e-11,2.473549728712882e-11,3.481524965143994e-11,1.0007578636692864e-11,1.2452171206682171e-11,3.481524965143994e-11,0.19999999963954906,1.4365596790973775e-11,3.481524965143994e-11,3.481524965143994e-11,3.481524965143994e-11,2.337671659515502e-12,6.252561716382168e-12,0.1999999999868718,1.2863187930622921e-11,1.2235783577884692e-11
2010-08-31,2.2390291124134894e-11,2.2390291124134894e-11,2.2390291124134894e-11,2.2390291124134894e-11,2.552065068398756e-12,0.1999999997348915,2.2390291124134894e-11,2.377832091548911e-10,4.941169813016271e-12,4.3587637019641626e-12,0.19999999971201557,8.727052341788247e-12,1.5937291662160687e-11,5.795639128833424e-12,1.8494274872267224e-11,6.4846191386654856e-12,5.022212556146949e-12,0.19999999999724954,2.2390291124134894e-11,2.2390291124134894e-11,7.853861813247616e-12,2.107270743327532e-11,2.2390291124134894e-11,1.998684014338502e-11,2.3773955780939408e-11,2.2390291124134894e-11,0.19999999986302383,1.2049119398125948e-11,2.2390291124134894e-11,2.2390291124134894e-11,2.2390291124134894e-11,1.217408409992393e-12,1.2485826595457289e-11,0.19999999998839635,1.2703364996972392e-11,1.4500406496589423e-11
2010-09-30,5.677848899714477e-13,5.677848899714477e-13,5.677848899714477e-13,5.677848899714477e-13,5.995732988200212e-13,2.315157905384974e-12,5.677848899714477e-13,0.1999999999992563,2.6049040694420033e-12,1.8653490847669914e-12,5.962380152020901e-12,0.1999999999956515,0.19999999985865516,6.74647292225008e-11,3.5494900213321455e-12,3.2103702110261357e-12,2.9630607127203727e-12,1.1770237202750504e-10,5.677848899714477e-13,5.677848899714477e-13,2.0710599224873006e-12,3.6503822273196205e-12,5.677848899714477e-13,2.2256758954977463e-12,2.550719171125987e-12,5.677848899714477e-13,0.19999999991150114,1.5275114963050544e-12,5.677848899714477e-13,5.677848899714477e-13,5.677848899714477e-13,3.4947442859663487e-13,7.038082658321326e-12,0.19999999999756088,1.234163592417228e-12,1.6772138548745124e-12
2010-10-31,4.619394280737785e-12,4.619394280737785e-12,4.619394280737785e-12,4.619394280737785e-12,7.913261734616784e-12,1.5620535376214482e-11,4.619394280737785e-12,0.19999999997836848,6.676828763662138e-11,1.6074074214097228e-11,2.665798718746876e-11,1.790125750916313e-11,0.19999999980485347,0.19999999980319455,2.0227950493769224e-11,2.8590426235052928e-11,2.002775536403858e-11,0.1999999999900242,4.619394280737785e-12,4.619394280737785e-12,1.431068011911705e-11,2.813247163284573e-11,4.619394280737785e-12,1.5251792006536047e-10,0.19999999983482494,4.619394280737785e-12,1.6123723531139065e-11,1.4539691725032208e-11,4.619394280737785e-12,4.619394280737785e-12,4.619394280737785e-12,4.031208375816491e-12,2.6973356714365133e-11,1.930250495343623e-11,9.829979499713018e-12,2.775865746453844e-11
2010-11-30,1.1394656176670102e-12,1.1394656176670102e-12,1.1394656176670102e-12,1.1394656176670102e-12,7.518762345371232e-13,3.304093698368723e-12,1.1394656176670102e-12,0.19999999999655715,2.2249147766937484e-12,7.864766017750856e-13,4.4155724766669525e-12,1.1876556851720308e-12,9.048346605371807e-13,1.24905002323824e-12,2.0722226833882744e-12,1.0459634702015813e-12,8.796810118393856e-13,0.199999999997379,1.1394656176670102e-12,1.1394656176670102e-12,0.1999999999902587,0.1999999999968277,1.1394656176670102e-12,1.6496317195811197e-11,3.2205426002347294e-11,1.1394656176670102e-12,2.4021840207046158e-11,3.966883852435552e-12,1.1394656176670102e-12,1.1394656176670102e-12,1.1394656176670102e-12,7.085542949797885e-13,1.814318555471514e-12,0.19999999989347417,2.2291309214545003e-12,1.156498321620238e-11
