Date,Universe,Ticker,Alpha
2009-10-31,A,DIA,100.0
2009-10-31,A,IJR,100.0
2009-10-31,A,MDY,100.0
2009-10-31,A,ONEQ,100.0
2009-10-31,A,QQQ,100.0
2009-10-31,A,RSP,100.0
2009-10-31,A,SPY,100.0
2009-10-31,A,VNQ,100.0
2009-10-31,A,VTV,100.0
2009-10-31,A,VUG,100.0
2009-11-30,A,DIA,100.0
2009-11-30,A,IJR,100.0
2009-11-30,A,MDY,100.0
2009-11-30,A,ONEQ,100.0
2009-11-30,A,QQQ,100.0
2009-11-30,A,RSP,100.0
2009-11-30,A,SPY,100.0
2009-11-30,A,VNQ,100.0
2009-11-30,A,VTV,100.0
2009-11-30,A,VUG,100.0
2009-12-31,A,DIA,100.0
2009-12-31,A,IJR,100.0
2009-12-31,A,MDY,100.0
2009-12-31,A,ONEQ,100.0
2009-12-31,A,QQQ,100.0
2009-12-31,A,RSP,100.0
2009-12-31,A,SPY,100.0
2009-12-31,A,VNQ,100.0
2009-12-31,A,VTV,100.0
2009-12-31,A,VUG,100.0
2010-01-31,A,DIA,100.0
2010-01-31,A,IJR,100.0
2010-01-31,A,MDY,100.0
2010-01-31,A,ONEQ,100.0
2010-01-31,A,QQQ,31.622776601683793
2010-01-31,A,RSP,100.0
2010-01-31,A,SPY,100.0
2010-01-31,A,VNQ,100.0
2010-01-31,A,VTV,100.0
2010-01-31,A,VUG,100.0
2010-02-28,A,DIA,100.0
2010-02-28,A,IJR,100.0
2010-02-28,A,MDY,100.0
2010-02-28,A,ONEQ,31.622776601683793
2010-02-28,A,QQQ,17.78279410038923
2010-02-28,A,RSP,100.0
2010-02-28,A,SPY,100.0
2010-02-28,A,VNQ,100.0
2010-02-28,A,VTV,100.0
2010-02-28,A,VUG,31.622776601683793
2010-03-31,A,DIA,100.0
2010-03-31,A,IJR,100.0
2010-03-31,A,MDY,31.622776601683793
2010-03-31,A,ONEQ,31.622776601683793
2010-03-31,A,QQQ,31.622776601683793
2010-03-31,A,RSP,100.0
2010-03-31,A,SPY,100.0
2010-03-31,A,VNQ,100.0
2010-03-31,A,VTV,100.0
2010-03-31,A,VUG,31.622776601683793
2010-04-30,A,DIA,100.0
2010-04-30,A,IJR,100.0
2010-04-30,A,MDY,31.622776601683793
2010-04-30,A,ONEQ,31.622776601683793
2010-04-30,A,QQQ,31.622776601683793
2010-04-30,A,RSP,100.0
2010-04-30,A,SPY,100.0
2010-04-30,A,VNQ,100.0
2010-04-30,A,VTV,100.0
2010-04-30,A,VUG,31.622776601683793
2010-05-31,A,DIA,100.0
2010-05-31,A,IJR,100.0
2010-05-31,A,MDY,31.622776601683793
2010-05-31,A,ONEQ,31.622776601683793
2010-05-31,A,QQQ,31.622776601683793
2010-05-31,A,RSP,100.0
2010-05-31,A,SPY,100.0
2010-05-31,A,VNQ,100.0
2010-05-31,A,VTV,100.0
2010-05-31,A,VUG,31.622776601683793
2010-06-30,A,DIA,100.0
2010-06-30,A,IJR,100.0
2010-06-30,A,MDY,100.0
2010-06-30,A,ONEQ,56.23413251903491
2010-06-30,A,QQQ,56.23413251903491
2010-06-30,A,RSP,100.0
2010-06-30,A,SPY,100.0
2010-06-30,A,VNQ,100.0
2010-06-30,A,VTV,100.0
2010-06-30,A,VUG,100.0
2010-07-31,A,DIA,100.0
2010-07-31,A,IJR,100.0
2010-07-31,A,MDY,56.23413251903491
2010-07-31,A,ONEQ,56.23413251903491
2010-07-31,A,QQQ,56.23413251903491
2010-07-31,A,RSP,100.0
2010-07-31,A,SPY,100.0
2010-07-31,A,VNQ,100.0
2010-07-31,A,VTV,100.0
2010-07-31,A,VUG,56.23413251903491
2010-08-31,A,DIA,100.0
2010-08-31,A,IJR,56.23413251903491
2010-08-31,A,MDY,56.23413251903491
2010-08-31,A,ONEQ,56.23413251903491
2010-08-31,A,QQQ,100.0
2010-08-31,A,RSP,100.0
2010-08-31,A,SPY,100.0
2010-08-31,A,VNQ,100.0
2010-08-31,A,VTV,100.0
2010-08-31,A,VUG,56.23413251903491
2010-09-30,A,DIA,100.0
2010-09-30,A,IJR,56.23413251903491
2010-09-30,A,MDY,56.23413251903491
2010-09-30,A,ONEQ,100.0
2010-09-30,A,QQQ,100.0
2010-09-30,A,RSP,100.0
2010-09-30,A,SPY,100.0
2010-09-30,A,VNQ,100.0
2010-09-30,A,VTV,100.0
2010-09-30,A,VUG,56.23413251903491
2010-10-31,A,DIA,100.0
2010-10-31,A,IJR,100.0
2010-10-31,A,MDY,100.0
2010-10-31,A,ONEQ,100.0
2010-10-31,A,QQQ,100.0
2010-10-31,A,RSP,100.0
2010-10-31,A,SPY,100.0
2010-10-31,A,VNQ,100.0
2010-10-31,A,VTV,100.0
2010-10-31,A,VUG,56.23413251903491
2010-11-30,A,DIA,100.0
2010-11-30,A,IJR,100.0
2010-11-30,A,MDY,100.0
2010-11-30,A,ONEQ,100.0
2010-11-30,A,QQQ,100.0
2010-11-30,A,RSP,100.0
2010-11-30,A,SPY,100.0
2010-11-30,A,VNQ,100.0
2010-11-30,A,VTV,100.0
2010-11-30,A,VUG,100.0
2010-12-31,A,DIA,100.0
2010-12-31,A,IJR,100.0
2010-12-31,A,MDY,100.0
2010-12-31,A,ONEQ,100.0
2010-12-31,A,QQQ,100.0
2010-12-31,A,RSP,100.0
2010-12-31,A,SPY,100.0
2010-12-31,A,VNQ,100.0
2010-12-31,A,VTV,100.0
2010-12-31,A,VUG,100.0
2011-01-31,A,DIA,100.0
2011-01-31,A,IJR,100.0
2011-01-31,A,MDY,100.0
2011-01-31,A,ONEQ,100.0
2011-01-31,A,QQQ,100.0
2011-01-31,A,RSP,100.0
2011-01-31,A,SPY,100.0
2011-01-31,A,VNQ,100.0
2011-01-31,A,VTV,100.0
2011-01-31,A,VUG,100.0
2011-02-28,A,DIA,100.0
2011-02-28,A,IJR,100.0
2011-02-28,A,MDY,100.0
2011-02-28,A,ONEQ,100.0
2011-02-28,A,QQQ,100.0
2011-02-28,A,RSP,100.0
2011-02-28,A,SPY,100.0
2011-02-28,A,VNQ,100.0
2011-02-28,A,VTV,100.0
2011-02-28,A,VUG,100.0
2011-03-31,A,DIA,100.0
2011-03-31,A,IJR,100.0
2011-03-31,A,MDY,100.0
2011-03-31,A,ONEQ,100.0
2011-03-31,A,QQQ,100.0
2011-03-31,A,RSP,100.0
2011-03-31,A,SPY,100.0
2011-03-31,A,VNQ,100.0
2011-03-31,A,VTV,100.0
2011-03-31,A,VUG,100.0
2011-04-30,A,DIA,100.0
2011-04-30,A,IJR,100.0
2011-04-30,A,MDY,100.0
2011-04-30,A,ONEQ,100.0
2011-04-30,A,QQQ,100.0
2011-04-30,A,RSP,100.0
2011-04-30,A,SPY,100.0
2011-04-30,A,VNQ,100.0
2011-04-30,A,VTV,100.0
2011-04-30,A,VUG,100.0
2011-05-31,A,DIA,100.0
2011-05-31,A,IJR,100.0
2011-05-31,A,MDY,100.0
