Date,Universe,Model,Ticker,Weight
2008-10-31,A,Ridge,DIA,
2008-11-30,A,Ridge,DIA,
2008-12-31,A,Ridge,DIA,
2009-01-31,A,Ridge,DIA,
2009-02-28,A,Ridge,DIA,
2009-03-31,A,Ridge,DIA,
2009-04-30,A,Ridge,DIA,
2009-05-31,A,Ridge,DIA,
2009-06-30,A,Ridge,DIA,
2009-07-31,A,Ridge,DIA,
2009-08-31,A,Ridge,DIA,
2009-09-30,A,Ridge,DIA,
2009-10-31,A,Ridge,DIA,8.864130774285696e-11
2009-11-30,A,Ridge,DIA,0.1999999997855762
2009-12-31,A,Ridge,DIA,2.8447153563803918e-11
2010-01-31,A,Ridge,DIA,0.19999999953847447
2010-02-28,A,Ridge,DIA,0.19999999989048833
2010-03-31,A,Ridge,DIA,0.1999999939224735
2010-04-30,A,Ridge,DIA,0.19999999989694087
2010-05-31,A,Ridge,DIA,1.3343744293511788e-10
2010-06-30,A,Ridge,DIA,0.19999999998127552
2010-07-31,A,Ridge,DIA,0.1999999996765033
2010-08-31,A,Ridge,DIA,1.106488847136546e-10
2010-09-30,A,Ridge,DIA,3.401397019371879e-11
2010-10-31,A,Ridge,DIA,9.674508447010235e-11
2010-11-30,A,Ridge,DIA,7.715513045181001e-11
2010-12-31,A,Ridge,DIA,0.19999999989075265
2011-01-31,A,Ridge,DIA,0.19999999999501822
2011-02-28,A,Ridge,DIA,0.19999999999259158
2011-03-31,A,Ridge,DIA,0.19999999997858034
2011-04-30,A,Ridge,DIA,0.1999999999646532
2011-05-31,A,Ridge,DIA,0.19999999997400977
2011-06-30,A,Ridge,DIA,0.19999999999086937
2011-07-31,A,Ridge,DIA,4.660351778687904e-12
2011-08-31,A,Ridge,DIA,3.727142841183799e-11
2011-09-30,A,Ridge,DIA,1.8887688413164795e-11
2011-10-31,A,Ridge,DIA,1.1590355177289503e-11
2011-11-30,A,Ridge,DIA,0.19999999989704023
2011-12-31,A,Ridge,DIA,0.1999999995917427
2012-01-31,A,Ridge,DIA,0.19999999945411162
2012-02-29,A,Ridge,DIA,2.964011733715451e-11
2012-03-31,A,Ridge,DIA,4.648933324034484e-11
2012-04-30,A,Ridge,DIA,8.146889752009603e-12
2012-05-31,A,Ridge,DIA,8.157696888733492e-11
2012-06-30,A,Ridge,DIA,0.19999999987139788
2012-07-31,A,Ridge,DIA,0.19999999997564286
2012-08-31,A,Ridge,DIA,2.482574182364574e-10
2012-09-30,A,Ridge,DIA,2.0469127860587334e-11
2012-10-31,A,Ridge,DIA,0.19999999993456474
2012-11-30,A,Ridge,DIA,0.19999999994642412
2012-12-31,A,Ridge,DIA,1.7890988523779758e-10
2013-01-31,A,Ridge,DIA,0.19999999999132323
2013-02-28,A,Ridge,DIA,0.19999999997769136
2013-03-31,A,Ridge,DIA,1.3708952897705157e-10
2013-04-30,A,Ridge,DIA,9.498969106238485e-10
2013-05-31,A,Ridge,DIA,5.675901756687194e-11
2013-06-30,A,Ridge,DIA,1.2533565835470742e-12
2013-07-31,A,Ridge,DIA,0.19999999992417425
2013-08-31,A,Ridge,DIA,4.173324349750486e-12
2013-09-30,A,Ridge,DIA,3.8776346626132e-12
2013-10-31,A,Ridge,DIA,1.7405620956556268e-12
2013-11-30,A,Ridge,DIA,0.1999999987415006
2013-12-31,A,Ridge,DIA,4.254915324067299e-11
2014-01-31,A,Ridge,DIA,3.672317405266273e-11
2014-02-28,A,Ridge,DIA,1.3935985622625022e-12
2014-03-31,A,Ridge,DIA,7.337369378212805e-13
2014-04-30,A,Ridge,DIA,1.2657942062125496e-09
2014-05-31,A,Ridge,DIA,4.765167362558487e-11
2014-06-30,A,Ridge,DIA,1.5016282966596456e-11
2014-07-31,A,Ridge,DIA,4.691356128237343e-12
2014-08-31,A,Ridge,DIA,0.1999999989174603
2014-09-30,A,Ridge,DIA,2.858137031979905e-10
2014-10-31,A,Ridge,DIA,0.1999999998349778
2014-11-30,A,Ridge,DIA,1.3472672918737725e-11
2014-12-31,A,Ridge,DIA,0.19999999997009335
2015-01-31,A,Ridge,DIA,2.7524468034979595e-10
2015-02-28,A,Ridge,DIA,2.527964208314023e-11
2015-03-31,A,Ridge,DIA,4.424765746581672e-12
2015-04-30,A,Ridge,DIA,2.9869145795971586e-11
2015-05-31,A,Ridge,DIA,4.744485343773835e-12
2015-06-30,A,Ridge,DIA,7.888271029149264e-11
2015-07-31,A,Ridge,DIA,0.19999999988092
2015-08-31,A,Ridge,DIA,3.620869693835801e-11
2015-09-30,A,Ridge,DIA,0.19999999681559974
2015-10-31,A,Ridge,DIA,0.19999999970337343
2015-11-30,A,Ridge,DIA,2.586233510730461e-10
2015-12-31,A,Ridge,DIA,5.934087460864842e-11
2016-01-31,A,Ridge,DIA,0.19999998336416705
2016-02-29,A,Ridge,DIA,4.4069794225886845e-10
2016-03-31,A,Ridge,DIA,2.379282347964011e-11
2016-04-30,A,Ridge,DIA,4.547155944491875e-10
2016-05-31,A,Ridge,DIA,6.562066709031736e-11
2016-06-30,A,Ridge,DIA,0.19999999993720338
2016-07-31,A,Ridge,DIA,2.0347937319088033e-10
2016-08-31,A,Ridge,DIA,8.496051263026452e-11
2016-09-30,A,Ridge,DIA,4.1551206078380545e-11
2016-10-31,A,Ridge,DIA,2.759228480994883e-11
2016-11-30,A,Ridge,DIA,3.029710705742893e-09
2016-12-31,A,Ridge,DIA,0.19999999993221587
2017-01-31,A,Ridge,DIA,5.743400300821767e-11
2017-02-28,A,Ridge,DIA,5.39160514376258e-11
2017-03-31,A,Ridge,DIA,0.19999999127815335
2017-04-30,A,Ridge,DIA,1.8358412532983744e-10
2017-05-31,A,Ridge,DIA,6.353759236599591e-11
2017-06-30,A,Ridge,DIA,1.1804959808261966e-10
2017-07-31,A,Ridge,DIA,3.3401332338682466e-10
2017-08-31,A,Ridge,DIA,1.4866705506800695e-11
2017-09-30,A,Ridge,DIA,1.7626713067422908e-11
2017-10-31,A,Ridge,DIA,6.037912390678093e-12
2017-11-30,A,Ridge,DIA,4.245738693255928e-11
2017-12-31,A,Ridge,DIA,7.840308211076873e-12
2018-01-31,A,Ridge,DIA,1.9737352476731158e-10
2018-02-28,A,Ridge,DIA,3.265967001842856e-11
2018-03-31,A,Ridge,DIA,2.7261041035254953e-11
2018-04-30,A,Ridge,DIA,1.8034630154592174e-10
2018-05-31,A,Ridge,DIA,5.2683083129708585e-12
2018-06-30,A,Ridge,DIA,0.19999999999566545
2018-07-31,A,Ridge,DIA,6.160086508655221e-12
2018-08-31,A,Ridge,DIA,2.979010911117589e-12
2018-09-30,A,Ridge,DIA,2.780531185172341e-12
2018-10-31,A,Ridge,DIA,3.616689995302039e-10
2018-11-30,A,Ridge,DIA,1.0837341637770175e-11
2018-12-31,A,Ridge,DIA,1.099699463992771e-09
2019-01-31,A,Ridge,DIA,0.19999999790205908
2019-02-28,A,Ridge,DIA,3.1514047031924874e-11
2019-03-31,A,Ridge,DIA,4.1139220085740775e-12
2019-04-30,A,Ridge,DIA,2.2682122334616042e-11
2019-05-31,A,Ridge,DIA,2.4658908006865452e-11
2019-06-30,A,Ridge,DIA,0.1999999996146434
2019-07-31,A,Ridge,DIA,2.81384309086687e-10
2019-08-31,A,Ridge,DIA,2.5500431151950835e-11
2019-09-30,A,Ridge,DIA,3.311657001708241e-10
2019-10-31,A,Ridge,DIA,1.106262108080877e-11
2019-11-30,A,Ridge,DIA,1.1538650906617873e-11
2019-12-31,A,Ridge,DIA,2.518851936166351e-11
2020-01-31,A,Ridge,DIA,4.4064235024476245e-11
2020-02-29,A,Ridge,DIA,0.19999999996056494
2020-03-31,A,Ridge,DIA,1.7185379517132622e-11
2020-04-30,A,Ridge,DIA,2.9719004855077755e-10
2020-05-31,A,Ridge,DIA,2.472871227900585e-11
2020-06-30,A,Ridge,DIA,1.5420807024084414e-12
2020-07-31,A,Ridge,DIA,1.3625928708805884e-12
2020-08-31,A,Ridge,DIA,7.860778493986203e-12
2020-09-30,A,Ridge,DIA,1.0121128533525616e-09
2020-10-31,A,Ridge,DIA,7.541167403956012e-11
2020-11-30,A,Ridge,DIA,3.042934058869216e-12
2020-12-31,A,Ridge,DIA,2.5856244628686083e-11
2021-01-31,A,Ridge,DIA,5.782164355165537e-11
2021-02-28,A,Ridge,DIA,2.8112102800469596e-11
2021-03-31,A,Ridge,DIA,1.6853814326194548e-11
2021-04-30,A,Ridge,DIA,1.2248812517654912e-11
2021-05-31,A,Ridge,DIA,1.4231443090998094e-10
2021-06-30,A,Ridge,DIA,3.81875273092096e-11
2021-07-31,A,Ridge,DIA,2.0945816208285847e-11
2021-08-31,A,Ridge,DIA,3.0593769667290816e-10
2021-09-30,A,Ridge,DIA,1.971126808047972e-11
2021-10-31,A,Ridge,DIA,3.889477889066836e-11
2021-11-30,A,Ridge,DIA,2.54318243573765e-12
2021-12-31,A,Ridge,DIA,2.6958097615324565e-11
2022-01-31,A,Ridge,DIA,3.302283763135446e-12
2022-02-28,A,Ridge,DIA,1.1881895495950007e-11
2022-03-31,A,Ridge,DIA,3.781569446843815e-11
2022-04-30,A,Ridge,DIA,0.19999999948893235
2022-05-31,A,Ridge,DIA,3.5436948888458064e-10
