,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2012-08-31,1.4571538398047834e-13,1.4571538398047834e-13,1.4571538398047834e-13,1.4571538398047834e-13,1.2939855192659814e-12,2.543356875743891e-13,1.4571538398047834e-13,0.1999999999983646,0.19999999999946325,5.320998083519866e-13,4.933452292253197e-13,4.1827479548361964e-13,2.707639806669877e-13,4.1308732161264393e-13,4.4588882186472447e-13,1.6008316352383578e-10,1.1781710455865112e-11,0.19999999998214113,1.0536805968858055e-13,1.6208743029576972e-12,3.490225355026933e-13,1.040935303942932e-10,1.4571538398047834e-13,4.2569821285005186e-13,0.19999999973921712,1.4571538398047834e-13,6.723481162508167e-13,3.3235468534217994e-13,6.894302219081266e-14,0.0,1.4571538398047834e-13,1.480220552066183e-13,8.617644002854112e-13,0.19999999999405305,2.2030227823319426e-13,7.102323880167026e-13
2012-09-30,2.427997850634142e-12,2.427997850634142e-12,2.427997850634142e-12,2.427997850634142e-12,0.19999999996937007,5.769295527678804e-12,2.427997850634142e-12,2.744006321313136e-11,2.8932669891573227e-11,1.5103067579425107e-12,0.19999999997366294,3.154765986857325e-12,1.6736768345552398e-12,2.4899433193275884e-12,4.530822944477017e-12,3.285327058571254e-12,2.29659800658419e-12,0.19999999999940746,8.295857550859405e-13,4.36332540785928e-12,8.363593217101215e-12,9.92396670915873e-12,2.427997850634142e-12,7.487977524222792e-11,0.19999999999001228,2.427997850634142e-12,9.796039790572764e-12,7.76501138775878e-12,4.177786769897799e-13,8.149224655051932e-14,2.427997850634142e-12,2.0997030432522913e-12,4.317175992452274e-12,1.5948186716858303e-12,4.004072994335058e-12,0.19999999983860328
2012-10-31,1.444931047588555e-13,1.444931047588555e-13,1.444931047588555e-13,1.444931047588555e-13,5.425886098695231e-13,3.428442536268997e-13,1.444931047588555e-13,0.19999999999212809,0.19999999999436083,8.656498922212383e-13,6.316920354232084e-13,0.19999999999728593,0.19999999999932924,8.681955877591544e-13,8.423465002538423e-13,9.244695464192632e-12,1.0611149223657829e-12,1.4610098515400025e-12,1.8832708367779983e-13,0.19999999999478005,2.2526880070921632e-13,3.941787941842077e-13,1.444931047588555e-13,7.063349252319753e-13,5.000264983945211e-13,1.444931047588555e-13,4.652721507168025e-13,3.8292889490743705e-13,5.3496337766686495e-14,5.4498433231842786e-14,1.444931047588555e-13,1.5834276042443473e-13,1.0317144587028329e-12,1.8055006241048265e-13,3.053204632093494e-13,4.5362980550230804e-13
2012-11-30,3.856252985904324e-12,3.856252985904324e-12,3.856252985904324e-12,3.856252985904324e-12,0.199999999980176,6.0366934321030154e-12,3.856252985904324e-12,2.1646293893112265e-11,0.19999999987903622,6.846568462623619e-12,1.9069126422996004e-11,0.19999999991387757,0.1999999999484236,3.3995826815580684e-11,1.0668903887331449e-11,7.54964537947845e-11,1.8925551802975263e-11,0.19999999995122053,3.8605764307793914e-12,1.7044231235790635e-11,4.788464717134686e-12,1.0709531609954725e-11,3.856252985904324e-12,5.111611659198156e-12,6.22670830237752e-12,3.856252985904324e-12,7.178004045440114e-12,6.284690002293484e-12,1.3693879838035127e-12,1.878853560234057e-12,3.856252985904324e-12,8.051905027398902e-12,1.4202818036729032e-11,3.326601431611946e-12,4.761591997353127e-12,8.935667803202425e-12
2012-12-31,3.7018540786279654e-13,3.7018540786279654e-13,3.7018540786279654e-13,3.7018540786279654e-13,0.19999999999446347,9.466426057569072e-13,3.7018540786279654e-13,5.410830321220768e-12,0.1999999999968208,3.359646318549944e-13,6.368812552115261e-12,9.913783385400564e-13,4.409114508513245e-13,1.1829562806769748e-12,9.422251405314664e-13,1.2912991334719498e-12,8.457459565558095e-13,1.9536193719191755e-12,7.956192600739507e-13,1.4546365642660867e-12,1.4492742316017258e-12,0.19999999998251636,3.7018540786279654e-13,7.002752534055935e-13,6.719741189901163e-13,3.7018540786279654e-13,1.4167746854597078e-12,9.129085210846995e-13,0.19999999999622317,1.3349391531710863e-13,3.7018540786279654e-13,1.4352466710335489e-12,1.1029716598897143e-12,0.19999999999417747,9.117085853254403e-13,1.1419761348618663e-12
2013-01-31,1.1085553735678547e-12,1.1085553735678547e-12,1.1085553735678547e-12,1.1085553735678547e-12,1.4336495569272428e-12,8.036562639695582e-12,1.1085553735678547e-12,0.19999999999106438,2.1310737121342414e-11,2.3833681456792066e-12,0.19999999998963008,0.19999999999034665,3.972512341088128e-12,5.569566844520228e-12,2.4238628641736047e-12,5.836805289570254e-12,3.221843553382468e-12,1.783810358191626e-12,2.644664095658183e-13,1.861317097836334e-12,0.19999999993011738,0.19999999998940143,1.1085553735678547e-12,2.5135450457842856e-12,1.8844830117801297e-12,1.1085553735678547e-12,9.31807110449363e-12,3.888128585307391e-12,1.550681892967507e-12,5.086119552173087e-13,1.1085553735678547e-12,2.530746160288375e-12,5.446658945069793e-12,3.0302210003591823e-12,8.73489377552882e-12,3.0669592861278294e-12
2013-02-28,1.0977345187494135e-12,1.0977345187494135e-12,1.0977345187494135e-12,1.0977345187494135e-12,5.446052049174539e-13,7.402812138580406e-12,1.0977345187494135e-12,0.19999999999821746,0.19999999995424766,5.64277672947044e-13,3.308139226004449e-11,1.0693992201445397e-12,9.952312230959214e-13,1.6708864029517335e-12,3.2411505601223744e-12,9.662124575587237e-13,7.905332090406731e-13,3.5745320029732168e-12,2.0607206068169036e-13,1.6698317000877716e-12,4.448963096656447e-12,0.19999999999408088,1.0977345187494135e-12,5.547437624304829e-12,4.061790635937879e-12,1.0977345187494135e-12,0.19999999998872087,6.903817650739974e-12,4.51174589040503e-13,5.069446389099095e-13,1.0977345187494135e-12,7.783003354192114e-13,1.7649025307370765e-12,4.732257264805596e-12,0.199999999967077,3.901781650729466e-12
2013-03-31,3.704307438830632e-12,3.704307438830632e-12,3.704307438830632e-12,3.704307438830632e-12,1.2097144179275684e-12,0.19999999907140686,3.704307438830632e-12,6.271144335929581e-12,0.19999999997551215,1.5320342437507243e-12,0.1999999999367977,3.0540743669086447e-12,2.8805881889609546e-12,5.780922349577334e-12,3.4095357756377066e-11,3.1635525001674108e-12,2.399142005281441e-12,4.2382710218872365e-11,6.475396719765024e-13,3.815653209767795e-12,4.4690296013932745e-11,4.466784098389105e-11,3.704307438830632e-12,3.3959742627866595e-11,1.1618220547533134e-09,3.704307438830632e-12,1.5709927363323374e-11,6.462050475972491e-11,0.0,2.298221909498536e-12,3.704307438830632e-12,1.1370417374955708e-12,6.894961291026686e-12,5.1466248960475434e-11,0.19999999997967646,0.19999999947247293
2013-04-30,6.817965750126644e-13,6.817965750126644e-13,6.817965750126644e-13,6.817965750126644e-13,1.1502591467646022e-13,5.994561598554345e-12,6.817965750126644e-13,0.19999999996504308,5.818234353539296e-12,1.524135819659619e-12,5.30071376161341e-12,2.9086668355047492e-12,6.914586373841149e-13,1.3118919439995944e-12,2.2080060465045566e-12,1.521371684658609e-12,0.19999999995154671,1.7023213297855958e-12,2.687945387204998e-12,2.081018377829215e-12,2.124046489694901e-12,1.3528444841660214e-11,6.817965750126644e-13,2.8877045836935577e-12,4.797925427351178e-12,6.817965750126644e-13,0.19999999998473614,6.033464950885322e-12,0.19999999999496035,3.586814314090304e-12,6.817965750126644e-13,1.9507571640059155e-13,1.3618327304718733e-12,0.19999999999240672,3.39355873407402e-11,3.536405262026158e-12
2013-05-31,1.959030338883205e-12,1.959030338883205e-12,1.959030338883205e-12,1.959030338883205e-12,6.066507422979489e-13,3.8406908664671234e-12,1.959030338883205e-12,3.2928730807583197e-12,9.472327378751565e-13,7.852075673489783e-13,1.1671860422950037e-13,1.8157378735222934e-12,1.8136733210689877e-12,1.1685736277456639e-12,5.598904872581209e-13,1.7340396505744934e-12,7.401111801446818e-13,5.6179599233029065e-12,3.810747060177838e-13,1.6703065650379924e-13,0.1999999998070892,1.903588059331394e-08,1.959030338883205e-12,0.19999999997395315,0.19999999998903562,1.959030338883205e-12,1.169978962272485e-11,3.028153999145166e-12,6.811476157092193e-13,1.9297309198988215e-14,1.959030338883205e-12,5.503826349608139e-13,1.0758453460023254e-12,0.1999999811534274,1.505028015907515e-12,0.1999999999827947
