Date,Universe,Strategy,Cost_bps,Ret_gross,Cost,Ret_net
2015-01-31,A,EqualWeight_1N,0,0.0505948466358024,0.0,0.0505948466358024
2015-02-28,A,EqualWeight_1N,0,-0.0090871621255661,0.0,-0.0090871621255661
2015-03-31,A,EqualWeight_1N,0,-0.0019561727969574,0.0,-0.0019561727969574
2015-04-30,A,EqualWeight_1N,0,0.015330522390528,0.0,0.015330522390528
2015-05-31,A,EqualWeight_1N,0,-0.0181673485641994,0.0,-0.0181673485641994
2015-06-30,A,EqualWeight_1N,0,0.0240678957843146,0.0,0.0240678957843146
2015-07-31,A,EqualWeight_1N,0,-0.0590209260206914,0.0,-0.0590209260206914
2015-08-31,A,EqualWeight_1N,0,-0.0196546214647935,0.0,-0.0196546214647935
2015-09-30,A,EqualWeight_1N,0,0.0779994479866717,0.0,0.0779994479866717
2015-10-31,A,EqualWeight_1N,0,0.006265345826364,0.0,0.006265345826364
2015-11-30,A,EqualWeight_1N,0,-0.0164636520190562,0.0,-0.0164636520190562
2015-12-31,A,EqualWeight_1N,0,-0.0513053039686324,0.0,-0.0513053039686324
2016-01-31,A,EqualWeight_1N,0,0.000898681451368,0.0,0.000898681451368
2016-02-29,A,EqualWeight_1N,0,0.0727288733665197,0.0,0.0727288733665197
2016-03-31,A,EqualWeight_1N,0,-0.0026450753332769,0.0,-0.0026450753332769
2016-04-30,A,EqualWeight_1N,0,0.0203435462234206,0.0,0.0203435462234206
2016-05-31,A,EqualWeight_1N,0,0.0102509473545144,0.0,0.0102509473545144
2016-06-30,A,EqualWeight_1N,0,0.0407509715272816,0.0,0.0407509715272816
2016-07-31,A,EqualWeight_1N,0,-0.0018262652366734,0.0,-0.0018262652366734
2016-08-31,A,EqualWeight_1N,0,0.0014663164306215,0.0,0.0014663164306215
2016-09-30,A,EqualWeight_1N,0,-0.0244012846129942,0.0,-0.0244012846129942
2016-10-31,A,EqualWeight_1N,0,0.0361529763828677,0.0,0.0361529763828677
2016-11-30,A,EqualWeight_1N,0,0.0219634720709013,0.0,0.0219634720709013
2016-12-31,A,EqualWeight_1N,0,0.018752387490865,0.0,0.018752387490865
2017-01-31,A,EqualWeight_1N,0,0.0378417208015356,0.0,0.0378417208015356
2017-02-28,A,EqualWeight_1N,0,0.0021689547967259,0.0,0.0021689547967259
2017-03-31,A,EqualWeight_1N,0,0.012882619737144,0.0,0.012882619737144
2017-04-30,A,EqualWeight_1N,0,0.0131344203712522,0.0,0.0131344203712522
2017-05-31,A,EqualWeight_1N,0,0.0067980156702584,0.0,0.0067980156702584
2017-06-30,A,EqualWeight_1N,0,0.0212028087513223,0.0,0.0212028087513223
2017-07-31,A,EqualWeight_1N,0,0.0019101082019648,0.0,0.0019101082019648
2017-08-31,A,EqualWeight_1N,0,0.0225916150565703,0.0,0.0225916150565703
2017-09-30,A,EqualWeight_1N,0,0.0252769895724788,0.0,0.0252769895724788
2017-10-31,A,EqualWeight_1N,0,0.0312396489498759,0.0,0.0312396489498759
2017-11-30,A,EqualWeight_1N,0,0.0071398224657615,0.0,0.0071398224657615
2017-12-31,A,EqualWeight_1N,0,0.0466965173871608,0.0,0.0466965173871608
2018-01-31,A,EqualWeight_1N,0,-0.0362524231031801,0.0,-0.0362524231031801
2018-02-28,A,EqualWeight_1N,0,-0.0131268198503166,0.0,-0.0131268198503166
2018-03-31,A,EqualWeight_1N,0,0.0026233200564903,0.0,0.0026233200564903
