Universe,Strategy,Cost_bps,months,CAGR,Vol_annual,Sharpe,Sortino,MaxDD,Calmar,HitRate,Skew,Kurtosis,CEQ_g3,CEQ_g5,Turnover_monthly_mean
A,EqualWeight_1N,0,192,0.13235378873784165,0.140061541595067,0.9619403774997177,1.371822904156588,-0.24829560914279247,0.5330492520378249,0.6666666666666666,-0.4297709747905597,1.0227765683341863,0.10530499904417116,0.08568776361018447,
A,EqualWeight_LongShort,0,192,0.0062181608790250475,0.03155558439736431,0.21218983560339402,0.3186625078191117,-0.10121561821116065,0.061434796219417796,0.5052083333333334,-0.056508459723640235,1.9065888014525747,0.005202141905656986,0.004206386998997804,
A,ML_RF_longshort_0bps,5,192,0.01139492788007157,0.04187641669876732,0.29155652114137626,0.41423370933269044,-0.10565580501460015,0.10784952022746835,0.5260416666666666,-0.27102911271661806,1.5042249376851258,0.00957889095726604,0.007825256681737242,0.36333705357142837
A,ML_RF_longshort_0bps,10,192,0.009193701693112954,0.04188873789213495,0.23942760163737878,0.34052407644950083,-0.1087926808063372,0.0845066196087101,0.5260416666666666,-0.2655262918640061,1.5065430865657214,0.007397320505836689,0.005642654143640706,0.36333705357142837
ALL,EqualWeight_1N,0,192,0.09886828223333599,0.15126198467304894,0.700995753129614,1.0563498073569761,-0.2543578439518456,0.3886975950781117,0.6041666666666666,-0.17048536054992555,1.821638210940261,0.07171372685491954,0.04883353884768986,
ALL,EqualWeight_LongShort,0,192,0.027579522286142355,0.045159328925119514,0.6254931634802271,1.105761465706254,-0.10386383713141001,0.2655353686889918,0.5208333333333334,0.266894133517911,0.580411294089008,0.02518780402656643,0.023148439037599295,
ALL,ML_RF_longshort_0bps,5,192,0.017165833845494083,0.07098250887279879,0.2764190862843681,0.30963765300746493,-0.18441413351103797,0.09308307079655928,0.5208333333333334,-2.2155950678232865,18.020561577140576,0.012063145395975654,0.007024628830098694,0.3005686760291623
ALL,ML_RF_longshort_0bps,10,192,0.015335192791894992,0.07098315015897234,0.25101038977155016,0.282033903338711,-0.19086952628489162,0.08034385106088492,0.515625,-2.213631654545005,18.009134552590453,0.010259596778879297,0.005220989172388082,0.3005686760291623
B,EqualWeight_1N,0,192,0.06467892033572986,0.171719254144406,0.451531855493536,0.7326002442432218,-0.31095130731863474,0.20800337163224325,0.5572916666666666,-0.14527901471460009,0.740988666935964,0.033305460081923075,0.003817957838011962,
B,EqualWeight_LongShort,0,192,0.0010391795589177466,0.032001398054718404,0.04843271792134575,0.060261884162403086,-0.1006727868174494,0.010322348191295206,0.5364583333333334,-0.5700045729961034,4.454730446127584,1.3780468888077149e-05,-0.0010103090085684576,
B,ML_RF_longshort_0bps,5,192,-0.014108600456500975,0.04265194020134035,-0.31155683389053457,-0.3722245340348942,-0.27202560957856925,-0.05186497138397546,0.5,-0.8093727018826015,2.4513400191966905,-0.01601728545282608,-0.017836473455764796,0.4093169820011336
B,ML_RF_longshort_0bps,10,192,-0.016530286306637665,0.042654829622212606,-0.36911190315072495,-0.44115217712470584,-0.2894821238637507,-0.05710296057665344,0.5,-0.8075742725369519,2.4527461883132027,-0.01847355707557479,-0.020292991565674778,0.4093169820011336
C,EqualWeight_1N,0,192,0.08905584744490969,0.2264482677234214,0.48095814662754993,0.9174160112241722,-0.47022013725005907,0.18939181968200258,0.515625,2.7061548532058026,22.579809451871853,0.03199391221886849,-0.019284905736069835,
C,EqualWeight_LongShort,0,192,0.033194916202812896,0.1376518499252057,0.3059772625754118,0.47543867752330876,-0.4663366098353464,0.07118230802109514,0.484375,-0.009713025186300227,0.7769515749733369,0.013696288546808807,-0.005251743241022552,
C,ML_RF_longshort_0bps,5,192,0.04975053335619961,0.1603046381773355,0.3833997704445687,0.566347685299703,-0.3586240269831693,0.13872615779459324,0.515625,-0.093686217411587,1.678064040722031,0.022914395946640402,-0.0027831810745260616,0.2787508937347332
C,ML_RF_longshort_0bps,10,192,0.04800191256496311,0.1603030544313909,0.3729701615983295,0.5510258635902208,-0.3609990825003083,0.1329696248325565,0.515625,-0.09296693807615622,1.6790581870657242,0.02124265222593147,-0.004454417034102015,0.2787508937347332
