Date,Ret_gross,Cost,Ret_net,Universe,Model,Calib
2008-10-31,,,,ALL,RF_longonly,quantile
2008-11-30,,,,ALL,RF_longonly,quantile
2008-12-31,,,,ALL,RF_longonly,quantile
2009-01-31,,,,ALL,RF_longonly,quantile
2009-02-28,,,,ALL,RF_longonly,quantile
2009-03-31,,,,ALL,RF_longonly,quantile
2009-04-30,,,,ALL,RF_longonly,quantile
2009-05-31,,,,ALL,RF_longonly,quantile
2009-06-30,,,,ALL,RF_longonly,quantile
2009-07-31,,,,ALL,RF_longonly,quantile
2009-08-31,,,,ALL,RF_longonly,quantile
2009-09-30,,,,ALL,RF_longonly,quantile
2009-10-31,0.06529874145469756,-0.00025,0.06504874145469756,ALL,RF_longonly,quantile
2009-11-30,-0.0239338892909212,-2.15608562896506e-14,-0.02393388929094276,ALL,RF_longonly,quantile
2009-12-31,-0.05475304944905398,-0.00019999999997810666,-0.054953049449032086,ALL,RF_longonly,quantile
2010-01-31,0.026854666393323873,-0.0001999999998606654,0.026654666393463207,ALL,RF_longonly,quantile
2010-02-28,0.06519750826597097,-0.0002999999999276733,0.06489750826604329,ALL,RF_longonly,quantile
2010-03-31,0.048569500704024986,-0.0002000000000970911,0.0483695007039279,ALL,RF_longonly,quantile
2010-04-30,-0.06087166269119081,-0.00010000000009962103,-0.06097166269129043,ALL,RF_longonly,quantile
2010-05-31,-0.04562930775961066,-0.00010000000005290666,-0.045729307759663565,ALL,RF_longonly,quantile
2010-06-30,0.05315348524581884,-0.000299999999932483,0.05285348524588635,ALL,RF_longonly,quantile
2010-07-31,-0.022484525301531933,-0.0001999999997966016,-0.022684525301328536,ALL,RF_longonly,quantile
2010-08-31,0.06618599521944656,-9.99999999905884e-05,0.06608599521945596,ALL,RF_longonly,quantile
2010-09-30,0.034681938428171494,-0.0002999999998552132,0.03438193842831628,ALL,RF_longonly,quantile
2010-10-31,-0.06316518243017838,-0.0002999999999630378,-0.06346518243014142,ALL,RF_longonly,quantile
2010-11-30,0.0623654365926727,-0.0002999999999261282,0.06206543659274657,ALL,RF_longonly,quantile
2010-12-31,0.02086331164974812,-0.00020000000003683678,0.02066331164971128,ALL,RF_longonly,quantile
2011-01-31,0.01708824027226291,-0.00039999999993974223,0.016688240272323168,ALL,RF_longonly,quantile
2011-02-28,0.008528786126517878,-0.00020000001843925754,0.00832878610807862,ALL,RF_longonly,quantile
2011-03-31,0.08175405923970107,-0.0003000000182631526,0.08145405922143792,ALL,RF_longonly,quantile
2011-04-30,-0.03663609323108002,-0.00010000000002447065,-0.03673609323110449,ALL,RF_longonly,quantile
2011-05-31,-0.024744941713279466,-0.00029999999981042115,-0.025044941713089887,ALL,RF_longonly,quantile
2011-06-30,-0.014763056218685315,-0.0003999999992453047,-0.01516305621793062,ALL,RF_longonly,quantile
2011-07-31,-0.032650011624185495,-0.00020000000011166947,-0.03285001162429716,ALL,RF_longonly,quantile
2011-08-31,-0.10531846281784156,-9.999999994561665e-05,-0.10541846281778718,ALL,RF_longonly,quantile
2011-09-30,0.11018769062320768,-0.00010000000000943,0.11008769062319826,ALL,RF_longonly,quantile
2011-10-31,-0.022575905776280637,-0.00010000000000550386,-0.022675905776286143,ALL,RF_longonly,quantile
2011-11-30,-0.02724821492684165,-0.0003999999999760133,-0.02764821492681766,ALL,RF_longonly,quantile
2011-12-31,0.07327101891601694,-0.00020000000001057735,0.07307101891600636,ALL,RF_longonly,quantile
2012-01-31,0.017948192094914387,-9.999999946586438e-05,0.017848192095448523,ALL,RF_longonly,quantile
2012-02-29,0.0089157675428715,-0.0001999999994995096,0.008715767543371989,ALL,RF_longonly,quantile
2012-03-31,-0.003329946254074475,-0.0002999999997911128,-0.0036299462538655876,ALL,RF_longonly,quantile
2012-04-30,-0.07706871277203997,-9.999999978550738e-05,-0.07716871277182548,ALL,RF_longonly,quantile
2012-05-31,0.05217497083983561,-5.77514333238741e-13,0.052174970839258095,ALL,RF_longonly,quantile
2012-06-30,0.016699037540347586,-2.9052683070107475e-13,0.016699037540057058,ALL,RF_longonly,quantile
2012-07-31,0.025128646869072357,-0.00010000000010733232,0.025028646868965023,ALL,RF_longonly,quantile
2012-08-31,0.01565914411076531,-0.0002000000000136947,0.015459144110751616,ALL,RF_longonly,quantile
2012-09-30,-0.03159934238293534,-0.00020000000021856525,-0.031799342383153906,ALL,RF_longonly,quantile
2012-10-31,0.02170597953824853,-0.00039999999982510807,0.02130597953842342,ALL,RF_longonly,quantile
2012-11-30,0.04170240646962693,-0.00010000000028956796,0.04160240646933736,ALL,RF_longonly,quantile
2012-12-31,0.03632752243622242,-0.00010000000056147836,0.03622752243566094,ALL,RF_longonly,quantile
2013-01-31,-0.019100352852300675,-0.0003000000000141915,-0.019400352852314867,ALL,RF_longonly,quantile
2013-02-28,0.013093431338298399,-0.00020000000011237564,0.012893431338186023,ALL,RF_longonly,quantile
2013-03-31,0.013147103883920534,-0.00039999999990878436,0.01274710388401175,ALL,RF_longonly,quantile
2013-04-30,-0.006233391330695457,-0.0004999999999821942,-0.006733391330677651,ALL,RF_longonly,quantile
2013-05-31,-0.010334991751105882,-0.0004999999999681705,-0.010834991751074052,ALL,RF_longonly,quantile
2013-06-30,0.013469283797974116,-4.724179983381827e-13,0.013469283797501699,ALL,RF_longonly,quantile
2013-07-31,-0.025616285313727172,-0.0004999999999309977,-0.02611628531365817,ALL,RF_longonly,quantile
