,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2018-05-31,5.61940669602468e-13,5.205719792310099e-13,5.61940669602468e-13,5.61940669602468e-13,4.940231999818395e-14,4.384896129602893e-12,5.61940669602468e-13,1.8538144565091884e-14,3.7595503456028377e-13,1.5314900508402067e-12,0.0,5.537215350914287e-14,0.0,0.19999999999647222,1.16648485875513e-13,5.101648225251038e-13,1.7976307646191175e-12,0.0,1.4924295333727903e-13,4.733458127007975e-13,0.1999999999971789,1.935853308760786e-12,8.841942724204526e-13,5.040772150870025e-12,1.3834520056411998e-12,8.539981573402312e-13,5.31657490500846e-12,5.041022613629999e-12,1.664812323463696e-13,0.2,8.478520736938253e-13,0.19999999999976173,8.201695255558942e-14,5.051490929866797e-13,0.19999999997063828,1.6603434548160811e-12
2018-06-30,1.2796671598059952e-13,1.05125124513357e-13,1.2796671598059952e-13,1.2796671598059952e-13,0.0,1.119816269858785e-11,1.2796671598059952e-13,0.0,0.0,3.1930822808601237e-13,0.0,4.1557052279228566e-15,0.0,0.0,1.623258905972526e-13,0.0,0.0,0.0,0.0,0.0,0.19999999999969298,9.929357749242378e-12,3.0902338791019714e-13,8.193721831435987e-12,7.140475870662274e-13,2.593003929243517e-13,0.19999999999756085,0.1999999999695469,0.0,1.4916233798489564e-13,2.6063031036568585e-13,0.19999999999989668,0.0,0.19999999999940773,8.287204897574676e-13,9.501120428220375e-13
2018-07-31,1.9450059738563433e-13,1.5413335139395393e-13,1.9450059738563433e-13,1.9450059738563433e-13,0.0,1.0494022738032945e-11,2.454183809061406e-13,0.0,0.0,7.490573730153002e-13,3.2512538863300195e-14,5.878868031764025e-13,0.0,0.0,2.2297913466545347e-13,0.0,5.728988418937989e-14,0.0,0.0,3.1675367334845953e-13,0.1999999999992922,9.89122760505196e-12,4.601812504938442e-13,5.874608006262318e-12,1.1206398308163947e-12,3.9698411261763417e-13,0.19999999999611834,4.5136947876496346e-11,0.0,0.19999999993743434,3.950343651815947e-13,0.1999999999912026,5.542860803702414e-14,4.689733584269901e-13,0.19999999999708012,1.6289969397775064e-12
2018-08-31,0.0,0.0,0.0,0.0,0.0,8.532884522746093e-12,0.0,0.0,0.0,5.612971731759686e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999776322,2.0441780872683366e-10,1.539421084885995e-13,1.9271537552207867e-11,2.498123204604911e-12,3.0308854040021724e-13,0.1999999999840514,0.19999999977085509,2.0212834094420998e-11,0.19999999998393247,2.946831444446729e-13,0.19999999999928547,0.0,0.0,4.384391453403318e-12,3.4817977632311896e-12
2018-09-30,1.0822845937892454e-12,9.430802533954668e-13,0.19999999999318344,1.0822845937892454e-12,1.0584852854543112e-12,9.801524909172288e-11,1.2079287705186123e-12,9.172817223190166e-13,1.732575193051962e-12,4.892169009373279e-12,2.0429560690439165e-12,6.8612290374347174e-12,1.3826636939517212e-13,1.4316348835240276e-11,1.914704150424033e-12,1.3785331599528354e-12,1.1239538801917818e-12,0.0,1.0699222240566208e-11,7.48925820775097e-12,0.1999999999902886,3.1938433945694626e-11,2.5441282306722838e-12,2.777847608859557e-11,1.393520878516659e-11,1.7165714579256357e-12,0.19999999954143025,1.750224029777755e-11,2.617057539531918e-10,1.5545271785277129e-12,1.7095188120426074e-12,1.9927766365564208e-12,1.6038155653740097e-12,0.19999999996566287,0.1999999999839323,4.62546885278257e-12
2018-10-31,4.250467703653545e-14,1.700517283763555e-14,0.19999999999928253,4.250467703653545e-14,0.0,3.705681167472102e-12,5.398288034968746e-14,1.522918654272526e-13,1.4780020610682427e-13,0.19999999999870494,5.63721937280268e-13,3.3877321886111783e-13,0.0,1.3223918307601746e-12,7.164249998704375e-13,9.91511991621253e-13,6.178890233979986e-13,0.0,1.673859511786376e-12,1.42189127247173e-12,0.19999999999823664,2.628078159585448e-12,2.5779788484258163e-13,2.5680891401155085e-12,2.107404163544227e-12,2.362922901556953e-13,4.14951819429372e-12,2.9324141103986664e-12,2.0234858881293794e-12,0.0,2.3288391772985013e-13,0.0,1.0158195438588023e-12,0.19999999997674806,0.19999999999607693,9.910557442543715e-13
2018-11-30,0.0,0.0,6.570817030598947e-12,8.084900955232027e-15,0.0,4.2577292930201994e-13,0.0,0.19999999999826984,2.0045175432708986e-14,3.982068937702113e-14,2.2475335040218435e-13,7.262310029428701e-13,0.0,5.284933872125315e-13,9.292320852972911e-14,2.92598863905934e-13,1.2082990651878167e-13,0.0,4.028781264505614e-13,1.5561328725187425e-13,0.19999999999934323,3.406136124432257e-13,9.564423752150614e-15,3.6894188996842183e-13,2.3962758199023746e-13,1.672031372855584e-14,5.011681606365385e-13,4.576354120934557e-13,3.53676334096795e-13,0.2,0.0,0.0,2.428631861923989e-13,0.19999999999901613,0.1999999999910877,1.433594380188756e-13
2018-12-31,4.795446767887281e-14,4.972484286529528e-14,0.19999999999935555,4.628514870235895e-14,6.8030152895840525e-15,4.765139854893873e-13,5.284486165467107e-14,3.340438685595053e-14,5.2748619028478294e-14,0.19999999999962784,8.370097473223523e-14,2.1693102808480647e-12,0.0,8.720195746288123e-14,1.725843608492565e-13,6.840922976417311e-14,5.073041887002566e-14,0.0,3.228752562906766e-13,3.057017613345445e-13,0.19999999999857657,3.538404279142067e-13,7.799380415963219e-14,4.090767160937259e-13,2.481448036599737e-13,5.648292923294295e-14,4.1732461130454334e-13,4.211839409136997e-13,3.430643403963616e-13,8.523702582803936e-14,7.456554159378475e-14,2.091532156052469e-14,1.0668049371649588e-13,0.19999999999839876,0.19999999999720505,1.9487186526935664e-13
2019-01-31,0.0,0.0,1.0528954190395088e-11,5.675455636925027e-15,0.0,5.800604735196293e-13,1.0010968814266092e-14,7.475651620716791e-14,3.012812687580338e-14,0.1999999999998716,2.4601431742147367e-13,4.4531490673213427e-13,0.0,7.81831692770345e-13,2.241283983211055e-13,3.5871187280873294e-13,9.92882671173566e-14,0.0,1.1434553455018156e-13,3.0603848325208213e-13,0.1999999999977784,2.712057163578845e-13,1.6201245038652661e-15,2.327881379819414e-13,1.349793154572549e-13,0.0,4.459131180501921e-13,7.280883578824571e-13,4.821487791945066e-13,4.398481384503842e-14,1.1750706369927956e-14,0.2,1.0559176630855626e-12,0.19999999998940496,0.1999999999955618,1.69610910988973e-13
2019-02-28,0.0,0.0,1.2118035452153981e-11,0.0,3.0528045514231236e-13,2.2495395194612562e-12,0.0,7.611116032200547e-13,2.9947675033773823e-13,0.0,7.897441064375492e-12,0.19999999997970921,0.0,3.333850309324966e-12,7.843886841304146e-13,3.764148607464568e-12,3.2929686370811036e-12,0.0,1.1159720815977316e-12,1.3150784842994385e-12,0.19999999999131307,1.0463289051325469e-12,0.0,9.92514413022714e-13,5.851344850518736e-13,0.0,1.9626449049787563e-12,4.600500385242671e-12,2.8339777769638422e-12,0.0,0.0,0.2,0.19999999997634002,1.0464316263419127e-10,0.19999999989823766,4.985313330030359e-13
2019-03-31,0.0,0.0,2.0324592803025977e-12,0.0,0.0,6.065678892907855e-13,0.0,8.645752445860105e-15,2.3674315910180393e-14,0.19999999999994814,1.3421822710252016e-12,3.716321378880709e-13,0.0,8.357392031883872e-13,0.19999999998391302,8.197990583657802e-13,6.267832140616053e-13,0.0,1.1963584475267945e-13,3.196316132829607e-13,0.19999999999826754,2.823586931914208e-13,0.0,2.4246585856939743e-13,1.717700728602149e-13,0.0,4.56312493119072e-13,7.405850782077355e-13,5.090957570039297e-13,1.1922907793281408e-13,5.892724532240035e-13,0.19999999999976042,7.876384951933884e-12,0.19999999997347695,2.6305266633976397e-11,2.3447835220294094e-13
2019-04-30,0.0,1.6100075551523046e-12,0.19999999998824614,0.0,0.0,6.801510128964384e-13,0.0,6.72512532440655e-13,0.0,0.1999999999996952,1.332740009284566e-12,0.19999999999973822,0.0,6.321096162643568e-13,2.7238797838898084e-13,1.4312402134463054e-13,8.652295610038344e-14,0.0,2.520544511852301e-13,2.1271972908251666e-13,0.19999999998043766,2.460830877386657e-13,0.0,2.9996235157575757e-13,1.652586809464586e-13,0.0,3.679144713238064e-13,5.471543412328753e-13,3.997708507746224e-13,1.7879755012559285e-13,0.0,0.19999999999920368,6.240873582847613e-12,1.071362219971436e-11,7.366012682933647e-12,2.5939768543850013e-13
2019-05-31,3.713152153351406e-14,5.972683209180563e-15,0.1999999999996629,1.8602364840344954e-14,0.0,1.05298070696204e-12,4.0868869724204466e-14,0.0,0.0,7.509555232317463e-13,2.74651338325581e-13,1.02264909294807e-12,0.0,4.26134021624409e-13,1.0077015129136666e-13,6.407675755263862e-14,1.0923776623800679e-14,0.0,9.943640384219085e-13,3.218170824254949e-13,0.19999999999943363,8.94853819933402e-13,2.3283371636679074e-14,9.612875643882076e-13,4.713346303864018e-13,1.108637394221012e-13,9.139094633184687e-13,1.1997044314105045e-12,9.910133087749881e-13,2.3108836919492153e-13,0.0,0.19999999999968,4.732833168898698e-13,0.19999999999904522,0.1999999999903705,4.1522237398817947e-13
2019-06-30,0.0,0.0,0.19999999998975931,0.0,0.0,1.824574829221642e-13,0.0,0.0,0.0,7.556619065258304e-12,8.727407233966213e-12,0.1999999999990505,0.0,5.7530856688205e-13,1.934129521026332e-13,5.445322358564009e-13,3.9088194188669237e-13,0.0,0.1999999999992676,7.182124537837325e-14,6.687457774621035e-13,1.0791416110575994e-13,0.0,1.1872725154240795e-13,3.685892547616893e-14,0.0,1.3183995207443755e-13,1.3012095426329443e-13,1.7552264330964916e-13,0.0,0.0,0.1999999999916962,0.19999999999906998,9.224771826574883e-13,5.88410528099096e-13,3.3322208028507524e-14
2019-07-31,8.251448614474687e-14,0.0,0.19999999999269455,0.0,2.267428002303194e-12,3.158774960343193e-12,1.6618229284216253e-13,0.0,0.0,8.551846884403384e-10,2.384287753611061e-12,1.2718765931150616e-12,0.0,1.4167622721840072e-12,2.8672092861121725e-12,1.4070473100816632e-14,0.0,0.0,3.559432198656528e-12,9.637832261181519e-13,0.19999999912202718,2.7612402848964282e-12,5.100102341614576e-13,2.7396346186753976e-12,2.831934469707436e-12,4.2674817890205635e-13,2.827719901177716e-12,3.5160060825629748e-12,0.19999999999614307,9.734293456766883e-13,6.660234962197372e-13,0.19999999999546503,4.163752213143073e-12,0.19999999997165263,2.545899058638641e-11,1.8050186047509808e-12
