Universe,Strategy,months,CAGR,Vol_annual,Sharpe,Sortino,MaxDD,Calmar,HitRate,Skew,Kurtosis,CEQ_g3,CEQ_g5,MSFE_portfolio_raw,OOS_R2_portfolio_raw,Turnover_monthly_mean,Train_NET_Label_Offset,Train_NET_Tau_Est,Cost_bps_oneway,DSR_pvalue
A,ML_RF_longshort_costaware_5bps_grosslabels,192,0.12714209058152837,0.15214172063274223,0.8669930870852884,1.1816727958013424,-0.27424646498850636,0.46360521214687994,0.65625,-0.609566823543047,0.6131076179138879,0.09718516531021158,0.07403806215312018,1.1523436474296643e-08,0.999994350442916,0.0813725477453892,2.5e-05,0.05,5.0,0.0
ALL,ML_RF_longshort_costaware_5bps_grosslabels,192,0.09160072262898589,0.19619072072936974,0.5441175964640662,0.8956486892019925,-0.41894788249669923,0.2186446726573623,0.5677083333333334,0.4531294679802256,2.085885975186409,0.049014625061353234,0.010523826161043665,1.553385416436896e-08,0.9999952495823533,0.14313725507753344,2.5e-05,0.05,5.0,1.609823385706477e-14
B,ML_RF_longshort_costaware_5bps_grosslabels,192,0.03626759184262762,0.17220391341429978,0.293918230084899,0.43160723857943706,-0.49331401039940337,0.07351826844176629,0.5625,-0.38469002690007964,0.8872318027754647,0.006132587751624702,-0.023521600043574953,1.2200520809283062e-08,0.9999950726897463,0.08431372662035547,2.5e-05,0.05,5.0,7.791869182449673e-05
C,ML_RF_longshort_costaware_5bps_grosslabels,192,0.045091052233787954,0.21786771406486966,0.3089717203378392,0.5634978719651085,-0.5314443714309267,0.08484623162416645,0.4635416666666667,0.5226929102065785,1.1676733420447176,-0.0038845488270824596,-0.051350889658934265,6.315104219588542e-09,0.9999984078475087,0.07957516532626197,2.5e-05,0.05,5.0,3.0102336332493707e-06
