Date,Universe,Strategy,Ret_gross,Cost,Ret_net
2013-06-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.05509472362130059,-1.4718539442884354e-14,0.055094723621285875
2013-07-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.02937645862197161,-1.312939532842976e-14,-0.02937645862198474
2013-08-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.04916178990289036,-9.895112005287546e-14,0.04916178990279141
2013-09-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.04175067483493967,-1.0802606500560726e-13,0.04175067483483164
2013-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.016165033191996293,-2.4034770551872502e-15,0.01616503319199389
2013-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.020339655993893032,-1.021417708330165e-15,0.020339655993892012
2013-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.010413681163283214,-2.037062473373435e-15,-0.010413681163285251
2014-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.048818281078995225,-1.6511434074324816e-15,0.048818281078993574
2014-02-28,A,ML_RF_longshort_costaware_5bps_netlabels,-0.007100490625476481,-2.3143323640065723e-15,-0.007100490625478795
2014-03-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.006835211570851116,-1.888870538362337e-15,-0.006835211570853005
2014-04-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.024202504200573557,-4.2138118324804997e-16,0.024202504200573138
2014-05-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.034677192344552195,-7.562828868756788e-16,0.03467719234455144
2014-06-30,A,ML_RF_longshort_costaware_5bps_netlabels,-0.01890325358257174,-2.734417952008411e-15,-0.018903253582574473
2014-07-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.044436220347313614,-1.7400566684290065e-13,0.04443622034713961
2014-08-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.036690729565247764,-1.2109168919321883e-13,-0.036690729565368854
2014-09-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.05204072794687935,-3.2610404174721996e-14,0.052040727946846735
2014-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.023925363353215715,-8.579480156369665e-14,0.02392536335312992
2014-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.004410658898914652,-4.8880412982980304e-15,0.004410658898909764
2014-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.0036950716577814,-1.3799294188069037e-15,-0.00369507165778278
2015-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,0.04363051190611531,-1.0101509217554761e-13,0.043630511906014295
2015-02-28,A,ML_RF_longshort_costaware_5bps_netlabels,0.002285780310886151,-9.68501853677223e-14,0.002285780310789301
2015-03-31,A,ML_RF_longshort_costaware_5bps_netlabels,-0.013945564849529602,-1.7260773556964923e-13,-0.01394556484970221
2015-04-30,A,ML_RF_longshort_costaware_5bps_netlabels,0.016086966985242916,-1.7100656066031723e-13,0.01608696698507191
