Date,Universe,Strategy,Ticker,Weight
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,DIA,
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,IJR,
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,MDY,
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,MTUM,
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,ONEQ,
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,QQQ,
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,QUAL,
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,RSP,
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,SPY,
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,USMV,
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,VNQ,
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,VTV,
2008-10-31,A,ML_RF_longshort_costaware_5bps_netlabels,VUG,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,DIA,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,IJR,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,MDY,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,MTUM,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,ONEQ,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,QQQ,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,QUAL,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,RSP,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,SPY,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,USMV,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,VNQ,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,VTV,
2008-11-30,A,ML_RF_longshort_costaware_5bps_netlabels,VUG,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,DIA,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,IJR,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,MDY,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,MTUM,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,ONEQ,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,QQQ,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,QUAL,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,RSP,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,SPY,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,USMV,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,VNQ,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,VTV,
2008-12-31,A,ML_RF_longshort_costaware_5bps_netlabels,VUG,
2009-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,DIA,
2009-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,IJR,
2009-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,MDY,
2009-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,MTUM,
2009-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,ONEQ,
2009-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,QQQ,
2009-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,QUAL,
2009-01-31,A,ML_RF_longshort_costaware_5bps_netlabels,RSP,
