,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2008-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,0.0,0.0,0.0,0.0,0.0,1.914836476595751e-13,0.0,1.825582832347443e-14,1.146672316342751e-13,4.317230993455567e-12,0.19999999999851859,0.19999999999936485,6.538386832107877e-13,3.7842186493116575e-12,1.6595541571094771e-12,3.3568759756353257e-13,4.594836954971161e-13,3.211607797551485e-13,0.0,0.0,7.804329176906391e-13,1.7304875232159946e-12,0.0,0.19999999999323817,0.19999999999102497,0.0,1.8335477366079882e-12,3.385541468022018e-13,0.0,0.0,0.0,0.0,9.063019280550953e-13,0.1999999999993954,3.0994657787457107e-13,7.032956087044967e-13
2009-10-31,9.960905237323492e-14,9.960905237323492e-14,9.960905237323492e-14,9.960905237323492e-14,9.960905237323492e-14,6.773837957194103e-13,9.960905237323492e-14,0.19999999999783788,0.1999999999911506,7.405244698264807e-13,8.781249512264023e-11,0.19999999999891227,0.19999999999862011,1.5763597400622479e-12,1.7562604964646213e-12,0.19999999989217257,7.0579186082924944e-12,2.4912697674939437e-14,9.960905237323492e-14,9.960905237323492e-14,4.548392352353063e-13,1.3011017985725613e-12,9.960905237323492e-14,3.1933256825638886e-12,7.137163049914201e-12,9.960905237323492e-14,1.4463534158298694e-12,1.58695785294736e-12,9.960905237323492e-14,9.960905237323492e-14,9.960905237323492e-14,9.960905237323492e-14,2.8095280471629823e-12,3.8459402664570433e-13,5.930835232342684e-13,1.3591545099497813e-12
2009-11-30,1.8192730911174293e-13,1.8192730911174293e-13,1.8192730911174293e-13,1.8192730911174293e-13,1.8192730911174293e-13,0.19999999994489268,1.8192730911174293e-13,0.19999999999809243,1.0804076277802048e-11,2.184371002221454e-12,3.570971340395988e-13,1.7788919961610688e-11,5.544942466594644e-13,2.4977635426171708e-12,1.1067435372309902e-12,3.9911616944102025e-12,1.2112317945518017e-11,8.105630600098997e-13,1.8192730911174293e-13,1.8192730911174293e-13,0.19999999997138862,7.1509197144990134e-12,1.8192730911174293e-13,2.223954027196988e-12,1.322794363894694e-11,1.8192730911174293e-13,0.19999999999571216,5.045102141265156e-12,1.8192730911174293e-13,1.8192730911174293e-13,1.8192730911174293e-13,1.8192730911174293e-13,1.610536140864915e-12,1.1103042933736616e-11,0.19999999999353324,1.2649859564195306e-12
2009-12-31,6.176184967969184e-13,6.176184967969184e-13,6.176184967969184e-13,6.176184967969184e-13,6.176184967969184e-13,0.19999999999880624,6.176184967969184e-13,0.19999999520305603,1.7642011164966334e-13,3.9453632709235897e-13,4.6576986277041086e-09,3.6880385798091005e-12,1.7899652900009323e-13,3.7375740306267765e-13,0.19999999999993845,2.278411213759117e-13,4.3390410469005863e-13,0.1999999999995749,6.176184967969184e-13,6.176184967969184e-13,4.43388028798974e-13,5.399238315077062e-13,6.176184967969184e-13,2.0378041407495022e-13,3.6627417297727294e-13,6.176184967969184e-13,1.5243476462695117e-12,3.923904311015339e-13,6.176184967969184e-13,6.176184967969184e-13,6.176184967969184e-13,6.176184967969184e-13,1.8253042385902943e-12,0.19999999999920512,1.219095779960174e-10,3.9554256282093397e-13
2010-01-31,0.05714285713992263,0.05714285713992263,0.05714285713992263,0.05714285713992263,0.05714285713992263,8.20990335610472e-12,0.05714285713992263,4.649333664898904e-12,0.0,0.0,1.7929497593537558e-11,1.5091043169545239e-12,0.0,2.7106128834994014e-13,6.754043216766586e-13,0.0,0.0,0.19999999999833415,0.05714285713992263,0.05714285713992263,2.6103615416453497e-13,0.0,0.05714285713992263,0.0,7.69502744814713e-13,0.05714285713992263,1.1982376333069667e-13,8.285225084193569e-13,0.05714285713992263,0.05714285713992263,0.05714285713992263,0.05714285713992263,3.9725228079182186e-13,0.0,6.7485531167963225e-12,3.801823030120277e-13
