Universe,Strategy,months,CAGR,Vol_annual,Sharpe,Sortino,MaxDD,Calmar,HitRate,Skew,Kurtosis,CEQ_g3,CEQ_g5,MSFE_portfolio_raw,OOS_R2_portfolio_raw,Turnover_monthly_mean,DSR_pvalue,CalibMethod
A,ML_RF_longshort_costaware_5bps_grosslabels_affine,192,0.12714209058152837,0.15214172063274223,0.8669930870852881,1.181672795801342,-0.27424646498850647,0.4636052121468797,0.65625,-0.609566823543047,0.6131076179138879,0.0971851653102116,0.0740380621531202,1.1523436474296643e-08,0.999994350442916,0.0813725477453892,0.0,affine
ALL,ML_RF_longshort_costaware_5bps_grosslabels_affine,192,0.09160072262898611,0.19619072072936974,0.5441175964640663,0.8956486892019931,-0.41894788249669923,0.21864467265736282,0.5677083333333334,0.4531294679802254,2.085885975186409,0.049014625061353234,0.010523826161043665,1.5533854164368955e-08,0.9999952495823533,0.1431372550775334,1.609823385706477e-14,affine
B,ML_RF_longshort_costaware_5bps_grosslabels_affine,192,0.03626759184262762,0.17220391341429978,0.2939182300848989,0.43160723857943695,-0.4933140103994037,0.07351826844176623,0.5625,-0.3846900269000795,0.8872318027754647,0.00613258775162466,-0.023521600043574994,1.2200520809283055e-08,0.9999950726897463,0.08431372662035548,7.791869182449673e-05,affine
C,ML_RF_longshort_costaware_5bps_grosslabels_affine,192,0.045091052233787954,0.21786771406486966,0.3089717203378395,0.5634978719651089,-0.5314443714309267,0.08484623162416645,0.4635416666666667,0.5226929102065778,1.1676733420447158,-0.003884548827082418,-0.05135088965893422,6.315104219588551e-09,0.9999984078475087,0.07957516532626197,3.0102336332493707e-06,affine
