Universe,Strategy_gross,Sharpe_gross,CAGR_gross,Vol_annual_gross,MaxDD_gross,CEQ_g3_gross,CEQ_g5_gross,Turnover_monthly_mean_gross,months_gross,Label_gross,Strategy_net,Sharpe_net,CAGR_net,Vol_annual_net,MaxDD_net,CEQ_g3_net,CEQ_g5_net,Turnover_monthly_mean_net,months_net,Label_net,Sharpe_Delta_NetMinusGross,CAGR_Delta_NetMinusGross,Vol_annual_Delta_NetMinusGross,CEQ_g3_Delta_NetMinusGross,CEQ_g5_Delta_NetMinusGross,Turnover_monthly_mean_Delta_NetMinusGross,MaxDD_Delta_NetMinusGross
A,ML_RF_longshort_costaware_5bps_grosslabels,0.8669930870852884,0.1271420905815283,0.1521417206327422,-0.2742464649885063,0.0971851653102115,0.0740380621531201,0.0813725477453892,192,Gross,ML_RF_longshort_costaware_5bps_netlabels,0.8637914805097886,0.1266645416599907,0.1522247262266901,-0.2742464650598573,0.0967318707253637,0.073559503450573,0.0803921594830548,192,Net,-0.003201606575499838,-0.0004775489215376183,8.300559394788798e-05,-0.00045329458484780205,-0.00047855870254710775,-0.000980388262334403,-7.135098067934109e-11
ALL,ML_RF_longshort_costaware_5bps_grosslabels,0.5441175964640662,0.0916007226289858,0.1961907207293697,-0.4189478824966992,0.0490146250613532,0.0105238261610436,0.1431372550775334,192,Gross,ML_RF_longshort_costaware_5bps_netlabels,0.5386179587759853,0.0903642220406468,0.1960070129295428,-0.4189478824999499,0.0479447735335455,0.0095260244159835,0.1421568631317284,192,Net,-0.005499637688080927,-0.001236500588339004,-0.00018370779982687657,-0.001069851527807697,-0.0009978017450601,-0.000980391945804987,-3.2507330161024584e-12
B,ML_RF_longshort_costaware_5bps_grosslabels,0.293918230084899,0.0362675918426276,0.1722039134142997,-0.4933140103994033,0.0061325877516247,-0.0235216000435749,0.0843137266203554,192,Gross,ML_RF_longshort_costaware_5bps_netlabels,0.2900283666340522,0.0355837729519137,0.1722664779156096,-0.4933140097626297,0.0054485560954914,-0.0242271833179577,0.08627451103121,192,Net,-0.0038898634508467977,-0.0006838188907139012,6.256450130989744e-05,-0.0006840316561333003,-0.0007055832743828004,0.0019607844108546074,6.367736338219743e-10
C,ML_RF_longshort_costaware_5bps_grosslabels,0.3089717203378392,0.0450910522337879,0.2178677140648696,-0.5314443714309267,-0.0038845488270824,-0.0513508896589342,0.0795751653262619,192,Gross,ML_RF_longshort_costaware_5bps_netlabels,0.3089717181700747,0.0450910517590037,0.2178677142704413,-0.5314443707141159,-0.0038845493702148,-0.0513508902916414,0.0795751654250405,192,Net,-2.1677645234419174e-09,-4.747841980679013e-10,2.0557169855273116e-10,-5.431324001659021e-10,-6.32707199132998e-10,9.877861029128354e-11,7.168108329125289e-10
